Dependency=Vintage	Dependency=Geometry House Size	Dependency=Geometry Building Type	Option=1	Option=2+	Count	Weight
2000s	0-1499	Multi-Family with 2 - 4 Units	0.838519868	0.161480132	226	2268849.847
2000s	1500-2499	Multi-Family with 2 - 4 Units	0.650489867	0.349510133	423	3910028.524
2000s	2500-3499	Multi-Family with 2 - 4 Units	0.315094138	0.684905862	243	2229392.981
2000s	3500+	Multi-Family with 2 - 4 Units	0.219330623	0.780669377	264	2397242.798
<1950	0-1499	Mobile Home	1	0	593	5642881.197
<1950	1500-2499	Mobile Home	1	0	450	4207616.56
<1950	2500-3499	Mobile Home	1	0	193	1767455.927
<1950	3500+	Mobile Home	1	0	109	1013195.559
1950s	0-1499	Mobile Home	1	0	520	4704980.719
1950s	1500-2499	Mobile Home	1	0	434	4078571.527
1950s	2500-3499	Mobile Home	1	0	109	1046418.084
1950s	3500+	Mobile Home	1	0	57	510967.9715
1960s	0-1499	Mobile Home	1	0	399	3677143.824
1960s	1500-2499	Mobile Home	1	0	353	3212853.732
1960s	2500-3499	Mobile Home	1	0	119	1104859.164
1960s	3500+	Mobile Home	1	0	76	696651.5876
1970s	0-1499	Mobile Home	1	0	389	3453731.729
1970s	1500-2499	Mobile Home	1	0	463	4007564.169
1970s	2500-3499	Mobile Home	1	0	188	1583212.848
1970s	3500+	Mobile Home	1	0	96	745789.2205
1980s	0-1499	Mobile Home	1	0	298	2859601.632
1980s	1500-2499	Mobile Home	1	0	416	3870139.651
1980s	2500-3499	Mobile Home	1	0	182	1620047.602
1980s	3500+	Mobile Home	1	0	101	869421.6269
1990s	0-1499	Mobile Home	1	0	246	2447476.3
1990s	1500-2499	Mobile Home	1	0	408	3900135.871
1990s	2500-3499	Mobile Home	1	0	236	2137182.248
1990s	3500+	Mobile Home	1	0	212	1872290.294
2000s	0-1499	Mobile Home	1	0	226	2268849.847
2000s	1500-2499	Mobile Home	1	0	423	3910028.524
2000s	2500-3499	Mobile Home	1	0	243	2229392.981
2000s	3500+	Mobile Home	1	0	264	2397242.798
<1950	0-1499	Multi-Family with 5+ Units	0	1	593	5642881.197
<1950	1500-2499	Multi-Family with 5+ Units	0	1	450	4207616.56
<1950	2500-3499	Multi-Family with 5+ Units	0	1	193	1767455.927
<1950	3500+	Multi-Family with 5+ Units	0	1	109	1013195.559
1950s	0-1499	Multi-Family with 5+ Units	0	1	520	4704980.719
1950s	1500-2499	Multi-Family with 5+ Units	0	1	434	4078571.527
1950s	2500-3499	Multi-Family with 5+ Units	0	1	109	1046418.084
1950s	3500+	Multi-Family with 5+ Units	0	1	57	510967.9715
1960s	0-1499	Multi-Family with 5+ Units	0	1	399	3677143.824
1960s	1500-2499	Multi-Family with 5+ Units	0	1	353	3212853.732
1960s	2500-3499	Multi-Family with 5+ Units	0	1	119	1104859.164
1960s	3500+	Multi-Family with 5+ Units	0	1	76	696651.5876
1970s	0-1499	Multi-Family with 5+ Units	0	1	389	3453731.729
1970s	1500-2499	Multi-Family with 5+ Units	0	1	463	4007564.169
1970s	2500-3499	Multi-Family with 5+ Units	0	1	188	1583212.848
1970s	3500+	Multi-Family with 5+ Units	0	1	96	745789.2205
1980s	0-1499	Multi-Family with 5+ Units	0	1	298	2859601.632
1980s	1500-2499	Multi-Family with 5+ Units	0	1	416	3870139.651
1980s	2500-3499	Multi-Family with 5+ Units	0	1	182	1620047.602
1980s	3500+	Multi-Family with 5+ Units	0	1	101	869421.6269
1990s	0-1499	Multi-Family with 5+ Units	0	1	246	2447476.3
1990s	1500-2499	Multi-Family with 5+ Units	0	1	408	3900135.871
1990s	2500-3499	Multi-Family with 5+ Units	0	1	236	2137182.248
1990s	3500+	Multi-Family with 5+ Units	0	1	212	1872290.294
2000s	0-1499	Multi-Family with 5+ Units	0	1	226	2268849.847
2000s	1500-2499	Multi-Family with 5+ Units	0	1	423	3910028.524
2000s	2500-3499	Multi-Family with 5+ Units	0	1	243	2229392.981
2000s	3500+	Multi-Family with 5+ Units	0	1	264	2397242.798
