Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=Vented Crawlspace	Option=Unvented Crawlspace	Option=Heated Basement	Option=Ambient	Option=Slab	Option=Unheated Basement
2A	Multi-Family with 2 - 4 Units	1980-99	0.069965	0.017195	0.000000	0.000000	0.912840	0.000000
2A	Multi-Family with 2 - 4 Units	2000-09	0.066012	0.003448	0.000000	0.000000	0.924908	0.005632
2A	Multi-Family with 2 - 4 Units	2010s	0.067475	0.001985	0.000000	0.000000	0.924908	0.005632
2A	Multi-Family with 2 - 4 Units	<1940	0.736819	0.000000	0.000000	0.000000	0.230182	0.032999
2A	Multi-Family with 5+ Units	1940-59	0.395271	0.000000	0.000000	0.000000	0.601889	0.002839
2A	Multi-Family with 5+ Units	1960-79	0.113481	0.000000	0.000000	0.000000	0.886519	0.000000
2A	Multi-Family with 5+ Units	1980-99	0.071902	0.015258	0.000000	0.000000	0.912840	0.000000
2A	Multi-Family with 5+ Units	2000-09	0.066686	0.002774	0.000000	0.000000	0.924908	0.005632
2A	Multi-Family with 5+ Units	2010s	0.065823	0.003637	0.000000	0.000000	0.924908	0.005632
2A	Multi-Family with 5+ Units	<1940	0.736819	0.000000	0.000000	0.000000	0.230182	0.032999
2A	Single-Family Attached	1940-59	0.395271	0.000000	0.000000	0.000000	0.601889	0.002839
2A	Single-Family Attached	1960-79	0.113481	0.000000	0.000000	0.000000	0.886519	0.000000
2A	Single-Family Attached	1980-99	0.069302	0.017858	0.000000	0.000000	0.912840	0.000000
2A	Single-Family Attached	2000-09	0.067393	0.002067	0.000000	0.000000	0.924908	0.005632
2A	Single-Family Attached	2010s	0.067475	0.001985	0.000000	0.000000	0.924908	0.005632
2A	Single-Family Attached	<1940	0.736819	0.000000	0.000000	0.000000	0.230182	0.032999
2A	Single-Family Detached	1940-59	0.306056	0.000000	0.000000	0.225706	0.466039	0.002199
2A	Single-Family Detached	1960-79	0.102545	0.000000	0.000000	0.096368	0.801086	0.000000
2A	Single-Family Detached	1980-99	0.066927	0.011748	0.000000	0.097352	0.823973	0.000000
2A	Single-Family Detached	2000-09	0.061955	0.003081	0.000000	0.063701	0.865990	0.005273
2A	Single-Family Detached	2010s	0.062699	0.002337	0.000000	0.063701	0.865990	0.005273
2A	Single-Family Detached	<1940	0.634701	0.000000	0.000000	0.138593	0.198280	0.028426
2B	Mobile Home	1940-59	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
2B	Mobile Home	1960-79	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
2B	Mobile Home	1980-99	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
2B	Mobile Home	2000-09	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
2B	Mobile Home	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
2B	Mobile Home	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
2B	Multi-Family with 2 - 4 Units	1940-59	0.058908	0.000000	0.000000	0.000000	0.941092	0.000000
2B	Multi-Family with 2 - 4 Units	1960-79	0.008341	0.000000	0.000000	0.000000	0.983564	0.008095
2B	Multi-Family with 2 - 4 Units	1980-99	0.035024	0.006486	0.000000	0.000000	0.935650	0.022840
2B	Multi-Family with 2 - 4 Units	2000-09	0.036639	0.000000	0.000000	0.000000	0.963361	0.000000
2B	Multi-Family with 2 - 4 Units	2010s	0.036639	0.000000	0.000000	0.000000	0.963361	0.000000
2B	Multi-Family with 2 - 4 Units	<1940	0.176843	0.000000	0.000000	0.000000	0.823157	0.000000
2B	Multi-Family with 5+ Units	1940-59	0.058908	0.000000	0.000000	0.000000	0.941092	0.000000
2B	Multi-Family with 5+ Units	1960-79	0.008341	0.000000	0.000000	0.000000	0.983564	0.008095
2B	Multi-Family with 5+ Units	1980-99	0.040851	0.000659	0.000000	0.000000	0.935650	0.022840
2B	Multi-Family with 5+ Units	2000-09	0.024128	0.012511	0.000000	0.000000	0.963361	0.000000
2B	Multi-Family with 5+ Units	2010s	0.030533	0.006106	0.000000	0.000000	0.963361	0.000000
2B	Multi-Family with 5+ Units	<1940	0.176843	0.000000	0.000000	0.000000	0.823157	0.000000
2B	Single-Family Attached	1940-59	0.058908	0.000000	0.000000	0.000000	0.941092	0.000000
2B	Single-Family Attached	1960-79	0.008341	0.000000	0.000000	0.000000	0.983564	0.008095
2B	Single-Family Attached	1980-99	0.039758	0.001420	0.008005	0.000000	0.928160	0.022657
2B	Single-Family Attached	2000-09	0.029311	0.007328	0.000000	0.000000	0.963361	0.000000
2B	Single-Family Attached	2010s	0.036639	0.000000	0.000000	0.000000	0.963361	0.000000
2B	Single-Family Attached	<1940	0.176843	0.000000	0.000000	0.000000	0.823157	0.000000
2B	Single-Family Detached	1940-59	0.058908	0.000000	0.000000	0.000000	0.941092	0.000000
2B	Single-Family Detached	1960-79	0.008341	0.000000	0.000000	0.000000	0.983564	0.008095
2B	Single-Family Detached	1980-99	0.037027	0.002178	0.007622	0.047920	0.883682	0.021571
2B	Single-Family Detached	2000-09	0.031815	0.004824	0.000000	0.000000	0.963361	0.000000
2B	Single-Family Detached	2010s	0.030698	0.005941	0.000000	0.000000	0.963361	0.000000
2B	Single-Family Detached	<1940	0.176843	0.000000	0.000000	0.000000	0.823157	0.000000
3A	Mobile Home	1940-59	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
3A	Mobile Home	1960-79	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
3A	Mobile Home	1980-99	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
3A	Mobile Home	2000-09	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
3A	Mobile Home	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
3A	Mobile Home	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
3A	Multi-Family with 2 - 4 Units	1940-59	0.588517	0.000000	0.000000	0.000000	0.361736	0.049747
3A	Multi-Family with 2 - 4 Units	1960-79	0.482194	0.000000	0.000000	0.000000	0.481252	0.036555
3A	Multi-Family with 2 - 4 Units	1980-99	0.279530	0.060472	0.000000	0.000000	0.631377	0.028621
3A	Multi-Family with 2 - 4 Units	2000-09	0.225154	0.011140	0.000000	0.000000	0.712396	0.051309
3A	Multi-Family with 2 - 4 Units	2010s	0.227275	0.009019	0.000000	0.000000	0.712396	0.051309
3A	Multi-Family with 2 - 4 Units	<1940	0.730141	0.000000	0.000000	0.000000	0.243765	0.026093
3A	Multi-Family with 5+ Units	1940-59	0.588517	0.000000	0.000000	0.000000	0.361736	0.049747
3A	Multi-Family with 5+ Units	1960-79	0.482194	0.000000	0.000000	0.000000	0.481252	0.036555
3A	Multi-Family with 5+ Units	1980-99	0.283762	0.056240	0.000000	0.000000	0.631377	0.028621
3A	Multi-Family with 5+ Units	2000-09	0.224270	0.012024	0.000000	0.000000	0.712396	0.051309
3A	Multi-Family with 5+ Units	2010s	0.223167	0.013127	0.000000	0.000000	0.712396	0.051309
3A	Multi-Family with 5+ Units	<1940	0.730141	0.000000	0.000000	0.000000	0.243765	0.026093
3A	Single-Family Attached	1940-59	0.582868	0.000000	0.009597	0.000000	0.358264	0.049270
3A	Single-Family Attached	1960-79	0.471332	0.000000	0.022526	0.000000	0.470411	0.035731
3A	Single-Family Attached	1980-99	0.267574	0.058186	0.041889	0.000000	0.604929	0.027422
3A	Single-Family Attached	2000-09	0.220441	0.012495	0.014215	0.000000	0.702269	0.050580
3A	Single-Family Attached	2010s	0.223890	0.009046	0.014215	0.000000	0.702269	0.050580
3A	Single-Family Attached	<1940	0.730141	0.000000	0.000000	0.000000	0.243765	0.026093
3A	Single-Family Detached	1940-59	0.532182	0.000000	0.008763	0.086960	0.327110	0.044985
3A	Single-Family Detached	1960-79	0.448926	0.000000	0.021456	0.047536	0.448049	0.034033
3A	Single-Family Detached	1980-99	0.259264	0.044627	0.039077	0.067133	0.564319	0.025581
3A	Single-Family Detached	2000-09	0.209020	0.009825	0.013355	0.060493	0.659787	0.047520
3A	Single-Family Detached	2010s	0.208797	0.010048	0.013355	0.060493	0.659787	0.047520
3A	Single-Family Detached	<1940	0.692600	0.000000	0.000000	0.051417	0.231232	0.024752
3B	Mobile Home	1940-59	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
3B	Mobile Home	1960-79	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
3B	Mobile Home	1980-99	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
3B	Mobile Home	2000-09	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
3B	Mobile Home	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
3B	Mobile Home	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
3B	Multi-Family with 2 - 4 Units	1940-59	0.488511	0.000000	0.000000	0.000000	0.494138	0.017350
3B	Multi-Family with 2 - 4 Units	1960-79	0.281971	0.000000	0.000000	0.000000	0.697872	0.020158
3B	Multi-Family with 2 - 4 Units	1980-99	0.175684	0.013798	0.000000	0.000000	0.805567	0.004951
3B	Multi-Family with 2 - 4 Units	2000-09	0.094080	0.008553	0.000000	0.000000	0.883124	0.014243
3B	Multi-Family with 2 - 4 Units	2010s	0.087971	0.014662	0.000000	0.000000	0.883124	0.014243
3B	Multi-Family with 2 - 4 Units	<1940	0.603358	0.000000	0.000000	0.000000	0.230099	0.166543
3B	Multi-Family with 5+ Units	1940-59	0.488511	0.000000	0.000000	0.000000	0.494138	0.017350
3B	Multi-Family with 5+ Units	1960-79	0.281971	0.000000	0.000000	0.000000	0.697872	0.020158
3B	Multi-Family with 5+ Units	1980-99	0.177077	0.012405	0.000000	0.000000	0.805567	0.004951
3B	Multi-Family with 5+ Units	2000-09	0.094062	0.008571	0.000000	0.000000	0.883124	0.014243
3B	Multi-Family with 5+ Units	2010s	0.094847	0.007786	0.000000	0.000000	0.883124	0.014243
3B	Multi-Family with 5+ Units	<1940	0.603358	0.000000	0.000000	0.000000	0.230099	0.166543
3B	Single-Family Attached	1940-59	0.485859	0.000000	0.005429	0.000000	0.491456	0.017256
3B	Single-Family Attached	1960-79	0.281040	0.000000	0.003301	0.000000	0.695568	0.020091
3B	Single-Family Attached	1980-99	0.177526	0.011956	0.000000	0.000000	0.805567	0.004951
3B	Single-Family Attached	2000-09	0.093230	0.008918	0.004725	0.000000	0.878951	0.014176
3B	Single-Family Attached	2010s	0.098365	0.003783	0.004725	0.000000	0.878951	0.014176
3B	Single-Family Attached	<1940	0.592091	0.000000	0.018673	0.000000	0.225802	0.163434
3B	Single-Family Detached	1940-59	0.466178	0.000000	0.005209	0.040509	0.471548	0.016557
3B	Single-Family Detached	1960-79	0.273724	0.000000	0.003215	0.026033	0.677460	0.019568
3B	Single-Family Detached	1980-99	0.169362	0.011780	0.000000	0.044017	0.770109	0.004733
3B	Single-Family Detached	2000-09	0.087710	0.009060	0.004476	0.052654	0.832670	0.013429
3B	Single-Family Detached	2010s	0.086660	0.010110	0.004476	0.052654	0.832670	0.013429
3B	Single-Family Detached	<1940	0.553553	0.000000	0.017458	0.065089	0.211105	0.152796
3C	Mobile Home	1940-59	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
3C	Mobile Home	1960-79	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
3C	Mobile Home	1980-99	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
3C	Mobile Home	2000-09	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
3C	Mobile Home	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
3C	Mobile Home	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
3C	Multi-Family with 2 - 4 Units	1940-59	0.578934	0.000000	0.000000	0.000000	0.395043	0.026023
3C	Multi-Family with 2 - 4 Units	1960-79	0.411263	0.000000	0.000000	0.000000	0.558056	0.030681
3C	Multi-Family with 2 - 4 Units	1980-99	0.277860	0.016345	0.000000	0.000000	0.695584	0.010211
3C	Multi-Family with 2 - 4 Units	2000-09	0.092374	0.009237	0.000000	0.000000	0.885284	0.013105
3C	Multi-Family with 2 - 4 Units	2010s	0.101611	0.000000	0.000000	0.000000	0.885284	0.013105
3C	Multi-Family with 2 - 4 Units	<1940	0.489879	0.000000	0.000000	0.000000	0.177619	0.332502
3C	Multi-Family with 5+ Units	1940-59	0.578934	0.000000	0.000000	0.000000	0.395043	0.026023
3C	Multi-Family with 5+ Units	1960-79	0.411263	0.000000	0.000000	0.000000	0.558056	0.030681
3C	Multi-Family with 5+ Units	1980-99	0.278121	0.016084	0.000000	0.000000	0.695584	0.010211
3C	Multi-Family with 5+ Units	2000-09	0.088162	0.013449	0.000000	0.000000	0.885284	0.013105
3C	Multi-Family with 5+ Units	2010s	0.087755	0.013856	0.000000	0.000000	0.885284	0.013105
3C	Multi-Family with 5+ Units	<1940	0.489879	0.000000	0.000000	0.000000	0.177619	0.332502
3C	Single-Family Attached	1940-59	0.559398	0.000000	0.033746	0.000000	0.381712	0.025144
3C	Single-Family Attached	1960-79	0.408770	0.000000	0.006061	0.000000	0.554674	0.030495
3C	Single-Family Attached	1980-99	0.270405	0.020800	0.010198	0.000000	0.688490	0.010107
3C	Single-Family Attached	2000-09	0.094353	0.007258	0.000000	0.000000	0.885284	0.013105
3C	Single-Family Attached	2010s	0.101611	0.000000	0.000000	0.000000	0.885284	0.013105
3C	Single-Family Attached	<1940	0.435363	0.000000	0.111285	0.000000	0.157853	0.295500
3C	Single-Family Detached	1940-59	0.546535	0.000000	0.032970	0.022994	0.372935	0.024566
3C	Single-Family Detached	1960-79	0.403958	0.000000	0.005989	0.011773	0.548144	0.030136
3C	Single-Family Detached	1980-99	0.245755	0.013198	0.009069	0.110752	0.612238	0.008988
3C	Single-Family Detached	2000-09	0.082813	0.015108	0.000000	0.036317	0.853134	0.012629
3C	Single-Family Detached	2010s	0.087429	0.010492	0.000000	0.036317	0.853134	0.012629
3C	Single-Family Detached	<1940	0.435363	0.000000	0.111285	0.000000	0.157853	0.295500
4A	Mobile Home	1940-59	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4A	Mobile Home	1960-79	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4A	Mobile Home	1980-99	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4A	Mobile Home	2000-09	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4A	Mobile Home	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4A	Mobile Home	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4A	Multi-Family with 2 - 4 Units	1940-59	0.419497	0.000000	0.000000	0.000000	0.275586	0.304917
4A	Multi-Family with 2 - 4 Units	1960-79	0.407981	0.000000	0.000000	0.000000	0.374137	0.217882
4A	Multi-Family with 2 - 4 Units	1980-99	0.364706	0.072465	0.000000	0.000000	0.407752	0.155077
4A	Multi-Family with 2 - 4 Units	2000-09	0.225115	0.096910	0.000000	0.000000	0.518676	0.159299
4A	Multi-Family with 2 - 4 Units	2010s	0.216025	0.106000	0.000000	0.000000	0.518676	0.159299
4A	Multi-Family with 2 - 4 Units	<1940	0.305496	0.000000	0.000000	0.000000	0.138071	0.556433
4A	Multi-Family with 5+ Units	1940-59	0.419497	0.000000	0.000000	0.000000	0.275586	0.304917
4A	Multi-Family with 5+ Units	1960-79	0.407981	0.000000	0.000000	0.000000	0.374137	0.217882
4A	Multi-Family with 5+ Units	1980-99	0.369898	0.067273	0.000000	0.000000	0.407752	0.155077
4A	Multi-Family with 5+ Units	2000-09	0.228164	0.093861	0.000000	0.000000	0.518676	0.159299
4A	Multi-Family with 5+ Units	2010s	0.226374	0.095651	0.000000	0.000000	0.518676	0.159299
4A	Multi-Family with 5+ Units	<1940	0.305496	0.000000	0.000000	0.000000	0.138071	0.556433
4A	Single-Family Attached	1940-59	0.305107	0.000000	0.272683	0.000000	0.200438	0.221772
4A	Single-Family Attached	1960-79	0.300805	0.000000	0.262700	0.000000	0.275851	0.160644
4A	Single-Family Attached	1980-99	0.264946	0.043006	0.295580	0.000000	0.287229	0.109239
4A	Single-Family Attached	2000-09	0.177037	0.076031	0.214134	0.000000	0.407610	0.125188
4A	Single-Family Attached	2010s	0.176231	0.076837	0.214134	0.000000	0.407610	0.125188
4A	Single-Family Attached	<1940	0.248687	0.000000	0.185955	0.000000	0.112396	0.452962
4A	Single-Family Detached	1940-59	0.297087	0.000000	0.265514	0.026289	0.195169	0.215942
4A	Single-Family Detached	1960-79	0.288471	0.000000	0.251928	0.041002	0.264541	0.154058
4A	Single-Family Detached	1980-99	0.249917	0.050858	0.288691	0.023308	0.280534	0.106693
4A	Single-Family Detached	2000-09	0.177226	0.072627	0.211413	0.012706	0.402431	0.123597
4A	Single-Family Detached	2010s	0.176639	0.073214	0.211413	0.012706	0.402431	0.123597
4A	Single-Family Detached	<1940	0.244244	0.000000	0.182633	0.017865	0.110388	0.444869
4B	Mobile Home	1940-59	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4B	Mobile Home	1960-79	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4B	Mobile Home	1980-99	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4B	Mobile Home	2000-09	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4B	Mobile Home	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4B	Mobile Home	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4B	Multi-Family with 2 - 4 Units	1940-59	0.488511	0.000000	0.000000	0.000000	0.494138	0.017350
4B	Multi-Family with 2 - 4 Units	1960-79	0.281971	0.000000	0.000000	0.000000	0.697872	0.020158
4B	Multi-Family with 2 - 4 Units	1980-99	0.167190	0.022292	0.000000	0.000000	0.805567	0.004951
4B	Multi-Family with 2 - 4 Units	2000-09	0.064146	0.038487	0.000000	0.000000	0.883124	0.014243
4B	Multi-Family with 2 - 4 Units	2010s	0.102633	0.000000	0.000000	0.000000	0.883124	0.014243
4B	Multi-Family with 2 - 4 Units	<1940	0.603358	0.000000	0.000000	0.000000	0.230099	0.166543
4B	Multi-Family with 5+ Units	1940-59	0.488511	0.000000	0.000000	0.000000	0.494138	0.017350
4B	Multi-Family with 5+ Units	1960-79	0.281971	0.000000	0.000000	0.000000	0.697872	0.020158
4B	Multi-Family with 5+ Units	1980-99	0.169948	0.019534	0.000000	0.000000	0.805567	0.004951
4B	Multi-Family with 5+ Units	2000-09	0.097231	0.005402	0.000000	0.000000	0.883124	0.014243
4B	Multi-Family with 5+ Units	2010s	0.102633	0.000000	0.000000	0.000000	0.883124	0.014243
4B	Multi-Family with 5+ Units	<1940	0.603358	0.000000	0.000000	0.000000	0.230099	0.166543
4B	Single-Family Attached	1940-59	0.485859	0.000000	0.005429	0.000000	0.491456	0.017256
4B	Single-Family Attached	1960-79	0.281040	0.000000	0.003301	0.000000	0.695568	0.020091
4B	Single-Family Attached	1980-99	0.173241	0.016241	0.000000	0.000000	0.805567	0.004951
4B	Single-Family Attached	2000-09	0.068099	0.034049	0.004725	0.000000	0.878951	0.014176
4B	Single-Family Attached	2010s	0.051074	0.051074	0.004725	0.000000	0.878951	0.014176
4B	Single-Family Attached	<1940	0.592091	0.000000	0.018673	0.000000	0.225802	0.163434
4B	Single-Family Detached	1940-59	0.466178	0.000000	0.005209	0.040509	0.471548	0.016557
4B	Single-Family Detached	1960-79	0.273724	0.000000	0.003215	0.026033	0.677460	0.019568
4B	Single-Family Detached	1980-99	0.168436	0.012706	0.000000	0.044017	0.770109	0.004733
4B	Single-Family Detached	2000-09	0.085773	0.010997	0.004476	0.052654	0.832670	0.013429
4B	Single-Family Detached	2010s	0.075733	0.021037	0.004476	0.052654	0.832670	0.013429
4B	Single-Family Detached	<1940	0.553553	0.000000	0.017458	0.065089	0.211105	0.152796
4C	Mobile Home	1940-59	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4C	Mobile Home	1960-79	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4C	Mobile Home	1980-99	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4C	Mobile Home	2000-09	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4C	Mobile Home	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4C	Mobile Home	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
4C	Multi-Family with 2 - 4 Units	1940-59	0.554596	0.000000	0.000000	0.000000	0.416838	0.028565
4C	Multi-Family with 2 - 4 Units	1960-79	0.664029	0.000000	0.000000	0.000000	0.335971	0.000000
4C	Multi-Family with 2 - 4 Units	1980-99	0.673126	0.038582	0.000000	0.000000	0.264021	0.024271
4C	Multi-Family with 2 - 4 Units	2000-09	0.590705	0.130749	0.000000	0.000000	0.278546	0.000000
4C	Multi-Family with 2 - 4 Units	2010s	0.606021	0.115433	0.000000	0.000000	0.278546	0.000000
4C	Multi-Family with 2 - 4 Units	<1940	0.647911	0.000000	0.000000	0.000000	0.198729	0.153360
4C	Multi-Family with 5+ Units	1940-59	0.554596	0.000000	0.000000	0.000000	0.416838	0.028565
4C	Multi-Family with 5+ Units	1960-79	0.664029	0.000000	0.000000	0.000000	0.335971	0.000000
4C	Multi-Family with 5+ Units	1980-99	0.674921	0.036787	0.000000	0.000000	0.264021	0.024271
4C	Multi-Family with 5+ Units	2000-09	0.586689	0.134765	0.000000	0.000000	0.278546	0.000000
4C	Multi-Family with 5+ Units	2010s	0.586430	0.135024	0.000000	0.000000	0.278546	0.000000
4C	Multi-Family with 5+ Units	<1940	0.647911	0.000000	0.000000	0.000000	0.198729	0.153360
4C	Single-Family Attached	1940-59	0.386084	0.000000	0.303846	0.000000	0.290184	0.019886
4C	Single-Family Attached	1960-79	0.616356	0.000000	0.071795	0.000000	0.311850	0.000000
4C	Single-Family Attached	1980-99	0.661842	0.032529	0.024361	0.000000	0.257589	0.023679
4C	Single-Family Attached	2000-09	0.569780	0.128401	0.032259	0.000000	0.269560	0.000000
4C	Single-Family Attached	2010s	0.548571	0.149610	0.032259	0.000000	0.269560	0.000000
4C	Single-Family Attached	<1940	0.552117	0.000000	0.147851	0.000000	0.169347	0.130686
4C	Single-Family Detached	1940-59	0.386084	0.000000	0.303846	0.000000	0.290184	0.019886
4C	Single-Family Detached	1960-79	0.553282	0.000000	0.064448	0.102333	0.279937	0.000000
4C	Single-Family Detached	1980-99	0.643659	0.031802	0.023697	0.027233	0.250574	0.023035
4C	Single-Family Detached	2000-09	0.518159	0.119378	0.029457	0.086859	0.246146	0.000000
4C	Single-Family Detached	2010s	0.519740	0.117797	0.029457	0.086859	0.246146	0.000000
4C	Single-Family Detached	<1940	0.552117	0.000000	0.147851	0.000000	0.169347	0.130686
5A	Mobile Home	1940-59	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
5A	Mobile Home	1960-79	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
5A	Mobile Home	1980-99	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
5A	Mobile Home	2000-09	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
5A	Mobile Home	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
5A	Mobile Home	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
5A	Multi-Family with 2 - 4 Units	1940-59	0.236007	0.000000	0.000000	0.000000	0.301358	0.462635
5A	Multi-Family with 2 - 4 Units	1960-79	0.241485	0.000000	0.000000	0.000000	0.386768	0.371747
5A	Multi-Family with 2 - 4 Units	1980-99	0.165111	0.130811	0.000000	0.000000	0.334934	0.369145
5A	Multi-Family with 2 - 4 Units	2000-09	0.051565	0.030574	0.000000	0.000000	0.577562	0.340299
5A	Multi-Family with 2 - 4 Units	2010s	0.050403	0.031736	0.000000	0.000000	0.577562	0.340299
