Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=Vintage ACS	Option=Central AC	Option=Heat Pump	Option=None	Option=Room AC	source_count	source_weight	sampling_probability
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1980-99	0	1	0	0	13	4943.8	8.17779e-05
1A	Multi-Family with 2 - 4 Units	Ducted Heating	1980-99	0.966721	0	0.0206066	0.0126729	90	40560.1	0.00012108
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1980-99	0.722156	0	0.18475	0.0930944	32	6711.08	2.56285e-05
1A	Multi-Family with 2 - 4 Units	None	1980-99	0.722156	0	0.18475	0.0930944	32	6711.08	9.32045e-06
1A	Multi-Family with 5+ Units	Ducted Heat Pump	1980-99	0	1	0	0	13	4943.8	0.000628421
1A	Multi-Family with 5+ Units	Ducted Heating	1980-99	0.966721	0	0.0206066	0.0126729	90	40560.1	0.000893351
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
1A	Multi-Family with 5+ Units	Non-Ducted Heating	1980-99	0.722156	0	0.18475	0.0930944	32	6711.08	0.000187996
1A	Multi-Family with 5+ Units	None	1980-99	0.722156	0	0.18475	0.0930944	32	6711.08	6.91239e-05
1A	Single-Family Attached	Ducted Heat Pump	1980-99	0	1	0	0	116	49206.8	0.000180471
1A	Single-Family Attached	Ducted Heating	1980-99	0.966617	0	0.0101138	0.0232689	245	113449	0.000257284
1A	Single-Family Attached	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
1A	Single-Family Attached	Non-Ducted Heating	1980-99	0.569054	0	0.112543	0.318403	37	8731.22	5.40519e-05
1A	Single-Family Attached	None	1980-99	0.569054	0	0.112543	0.318403	37	8731.22	2.25464e-05
1A	Single-Family Detached	Ducted Heat Pump	1980-99	0	1	0	0	116	49206.8	0.000635955
1A	Single-Family Detached	Ducted Heating	1980-99	0.966617	0	0.0101138	0.0232689	245	113449	0.000850926
1A	Single-Family Detached	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
1A	Single-Family Detached	Non-Ducted Heating	1980-99	0.569054	0	0.112543	0.318403	37	8731.22	0.000174919
1A	Single-Family Detached	None	1980-99	0.569054	0	0.112543	0.318403	37	8731.22	4.50501e-05
1A	Mobile Home	Ducted Heat Pump	2000-09	0	1	0	0	6	3353.9	1.6632e-05
1A	Mobile Home	Ducted Heating	2000-09	1	0	0	0	11	6929.97	2.19975e-05
1A	Mobile Home	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
1A	Mobile Home	Non-Ducted Heating	2000-09	0.726896	0	0.136552	0.136552	6	1955.37	1.70655e-06
1A	Mobile Home	None	2000-09	0.726896	0	0.136552	0.136552	6	1955.37	1.05586e-06
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2000-09	0	1	0	0	5	1072.14	2.58932e-05
1A	Multi-Family with 2 - 4 Units	Ducted Heating	2000-09	0.9789	0	0.0211004	0	40	8845.52	3.45762e-05
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2000-09	1	0	0	0	13	1359.47	2.78746e-06
1A	Multi-Family with 2 - 4 Units	None	2000-09	1	0	0	0	13	1359.47	2.77184e-06
1A	Multi-Family with 5+ Units	Ducted Heat Pump	2000-09	0	1	0	0	5	1072.14	0.000314083
1A	Multi-Family with 5+ Units	Ducted Heating	2000-09	0.9789	0	0.0211004	0	40	8845.52	0.000411099
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
1A	Multi-Family with 5+ Units	Non-Ducted Heating	2000-09	1	0	0	0	13	1359.47	3.05197e-05
1A	Multi-Family with 5+ Units	None	2000-09	1	0	0	0	13	1359.47	3.43309e-05
1A	Single-Family Attached	Ducted Heat Pump	2000-09	0	1	0	0	66	12880	7.89699e-05
1A	Single-Family Attached	Ducted Heating	2000-09	0.985765	0	0.00538066	0.00885408	177	41406.6	0.000103103
1A	Single-Family Attached	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
1A	Single-Family Attached	Non-Ducted Heating	2000-09	0.578514	0	0.100669	0.320817	17	2141.6	7.57064e-06
1A	Single-Family Attached	None	2000-09	0.578514	0	0.100669	0.320817	17	2141.6	1.07787e-05
1A	Single-Family Detached	Ducted Heat Pump	2000-09	0	1	0	0	66	12880	0.000223407
1A	Single-Family Detached	Ducted Heating	2000-09	0.985765	0	0.00538066	0.00885408	177	41406.6	0.000293425
1A	Single-Family Detached	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
1A	Single-Family Detached	Non-Ducted Heating	2000-09	0.578514	0	0.100669	0.320817	17	2141.6	2.21094e-05
1A	Single-Family Detached	None	2000-09	0.578514	0	0.100669	0.320817	17	2141.6	1.50013e-05
1A	Mobile Home	Ducted Heat Pump	2010s	0	1	0	0	6	3353.9	5.62309e-06
1A	Mobile Home	Ducted Heating	2010s	1	0	0	0	11	6929.97	7.76545e-06
1A	Mobile Home	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
1A	Mobile Home	Non-Ducted Heating	2010s	0.726896	0	0.136552	0.136552	6	1955.37	7.07055e-07
1A	Mobile Home	None	2010s	0.726896	0	0.136552	0.136552	6	1955.37	9.4013e-08
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2010s	0	1	0	0	5	1072.14	1.23464e-05
1A	Multi-Family with 2 - 4 Units	Ducted Heating	2010s	0.9789	0	0.0211004	0	40	8845.52	1.61937e-05
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2010s	1	0	0	0	13	1359.47	1.21307e-06
1A	Multi-Family with 2 - 4 Units	None	2010s	1	0	0	0	13	1359.47	7.74567e-07
1A	Multi-Family with 5+ Units	Ducted Heat Pump	2010s	0	1	0	0	5	1072.14	0.000136233
1A	Multi-Family with 5+ Units	Ducted Heating	2010s	0.9789	0	0.0211004	0	40	8845.52	0.000176615
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
1A	Multi-Family with 5+ Units	Non-Ducted Heating	2010s	1	0	0	0	13	1359.47	1.2565e-05
1A	Multi-Family with 5+ Units	None	2010s	1	0	0	0	13	1359.47	1.0038e-05
1A	Single-Family Attached	Ducted Heat Pump	2010s	0	1	0	0	66	12880	2.38334e-05
1A	Single-Family Attached	Ducted Heating	2010s	0.985765	0	0.00538066	0.00885408	177	41406.6	3.16248e-05
1A	Single-Family Attached	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
1A	Single-Family Attached	Non-Ducted Heating	2010s	0.578514	0	0.100669	0.320817	17	2141.6	2.48614e-06
1A	Single-Family Attached	None	2010s	0.578514	0	0.100669	0.320817	17	2141.6	3.11493e-06
1A	Single-Family Detached	Ducted Heat Pump	2010s	0	1	0	0	66	12880	4.82745e-05
1A	Single-Family Detached	Ducted Heating	2010s	0.985765	0	0.00538066	0.00885408	177	41406.6	6.7288e-05
1A	Single-Family Detached	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
1A	Single-Family Detached	Non-Ducted Heating	2010s	0.578514	0	0.100669	0.320817	17	2141.6	6.31626e-06
1A	Single-Family Detached	None	2010s	0.578514	0	0.100669	0.320817	17	2141.6	3.06833e-06
1A	Mobile Home	Ducted Heat Pump	<1940	0	1	0	0	0	0	5.62746e-07
1A	Mobile Home	Ducted Heating	<1940	0.333333	0	0.333333	0.333333	0	0	6.39338e-07
1A	Mobile Home	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
1A	Mobile Home	Non-Ducted Heating	<1940	0.333333	0	0.333333	0.333333	0	0	3.34401e-07
1A	Mobile Home	None	<1940	0.333333	0	0.333333	0.333333	0	0	4.19672e-07
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	<1940	0	1	0	0	1	432.995	1.64838e-05
1A	Multi-Family with 2 - 4 Units	Ducted Heating	<1940	1	0	0	0	4	1941.21	1.59359e-05
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	<1940	0	0	0.273746	0.726254	6	1338.74	7.81323e-06
1A	Multi-Family with 2 - 4 Units	None	<1940	0	0	0.273746	0.726254	6	1338.74	1.92108e-06
1A	Multi-Family with 5+ Units	Ducted Heat Pump	<1940	0	1	0	0	1	432.995	4.0468e-05
1A	Multi-Family with 5+ Units	Ducted Heating	<1940	1	0	0	0	4	1941.21	3.77292e-05
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
1A	Multi-Family with 5+ Units	Non-Ducted Heating	<1940	0	0	0.273746	0.726254	6	1338.74	1.81921e-05
1A	Multi-Family with 5+ Units	None	<1940	0	0	0.273746	0.726254	6	1338.74	7.7929e-06
1A	Single-Family Attached	Ducted Heat Pump	<1940	0	1	0	0	10	3923.69	9.04976e-06
1A	Single-Family Attached	Ducted Heating	<1940	0.913242	0	0.0247116	0.0620463	25	13363.4	8.55011e-06
1A	Single-Family Attached	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
1A	Single-Family Attached	Non-Ducted Heating	<1940	0.219372	0	0.157263	0.623365	10	2904.22	4.14836e-06
1A	Single-Family Attached	None	<1940	0.219372	0	0.157263	0.623365	10	2904.22	6.26461e-07
1A	Single-Family Detached	Ducted Heat Pump	<1940	0	1	0	0	10	3923.69	6.78156e-05
1A	Single-Family Detached	Ducted Heating	<1940	0.913242	0	0.0247116	0.0620463	25	13363.4	6.56004e-05
1A	Single-Family Detached	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
1A	Single-Family Detached	Non-Ducted Heating	<1940	0.219372	0	0.157263	0.623365	10	2904.22	3.21719e-05
1A	Single-Family Detached	None	<1940	0.219372	0	0.157263	0.623365	10	2904.22	1.14001e-05
2A	Mobile Home	Ducted Heat Pump	1940-59	0	1	0	0	0	0	4.00866e-05
2A	Mobile Home	Ducted Heating	1940-59	0.333333	0	0.333333	0.333333	0	0	9.43374e-05
2A	Mobile Home	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
2A	Mobile Home	Non-Ducted Heating	1940-59	0	0	0	1	3	21122.7	5.31105e-05
2A	Mobile Home	None	1940-59	0	0	0	1	3	21122.7	6.48966e-06
2A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1940-59	0	1	0	0	1	3503.32	9.54096e-05
2A	Multi-Family with 2 - 4 Units	Ducted Heating	1940-59	0.895813	0	0	0.104187	16	61374.8	0.000323404
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1940-59	0.157615	0	0.192165	0.65022	19	34164	0.000182576
2A	Multi-Family with 2 - 4 Units	None	1940-59	0.157615	0	0.192165	0.65022	19	34164	1.40469e-05
2A	Multi-Family with 5+ Units	Ducted Heat Pump	1940-59	0	1	0	0	1	3503.32	0.000103352
2A	Multi-Family with 5+ Units	Ducted Heating	1940-59	0.895813	0	0	0.104187	16	61374.8	0.000349304
2A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
2A	Multi-Family with 5+ Units	Non-Ducted Heating	1940-59	0.157615	0	0.192165	0.65022	19	34164	0.000202393
2A	Multi-Family with 5+ Units	None	1940-59	0.157615	0	0.192165	0.65022	19	34164	1.65282e-05
2A	Single-Family Attached	Ducted Heat Pump	1940-59	0	1	0	0	32	113224	3.58264e-05
2A	Single-Family Attached	Ducted Heating	1940-59	0.90322	0	0.0119277	0.0848528	83	311358	0.000129645
2A	Single-Family Attached	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
2A	Single-Family Attached	Non-Ducted Heating	1940-59	0.0985913	0	0.0320546	0.869354	56	119261	8.0854e-05
2A	Single-Family Attached	None	1940-59	0.0985913	0	0.0320546	0.869354	56	119261	3.29831e-06
2A	Single-Family Detached	Ducted Heat Pump	1940-59	0	1	0	0	32	113224	0.00128054
2A	Single-Family Detached	Ducted Heating	1940-59	0.90322	0	0.0119277	0.0848528	83	311358	0.00462974
2A	Single-Family Detached	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
2A	Single-Family Detached	Non-Ducted Heating	1940-59	0.0985913	0	0.0320546	0.869354	56	119261	0.00307521
2A	Single-Family Detached	None	1940-59	0.0985913	0	0.0320546	0.869354	56	119261	7.14931e-05
2A	Mobile Home	Ducted Heat Pump	1960-79	0	1	0	0	9	85389.5	0.00070244
2A	Mobile Home	Ducted Heating	1960-79	0.784691	0	0	0.215309	10	98531.8	0.00157367
2A	Mobile Home	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
2A	Mobile Home	Non-Ducted Heating	1960-79	0.338418	0	0.104256	0.557326	20	95508.2	0.000339722
2A	Mobile Home	None	1960-79	0.338418	0	0.104256	0.557326	20	95508.2	4.46983e-05
2A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1960-79	0	1	0	0	11	47136.5	0.000458704
2A	Multi-Family with 2 - 4 Units	Ducted Heating	1960-79	0.968885	0	0.0191534	0.011962	92	347672	0.00137636
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1960-79	0.579164	0	0.043206	0.37763	21	37566.4	0.000272988
2A	Multi-Family with 2 - 4 Units	None	1960-79	0.579164	0	0.043206	0.37763	21	37566.4	2.45157e-05
2A	Multi-Family with 5+ Units	Ducted Heat Pump	1960-79	0	1	0	0	11	47136.5	0.00129086
2A	Multi-Family with 5+ Units	Ducted Heating	1960-79	0.968885	0	0.0191534	0.011962	92	347672	0.00394645
2A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
2A	Multi-Family with 5+ Units	Non-Ducted Heating	1960-79	0.579164	0	0.043206	0.37763	21	37566.4	0.000727084
2A	Multi-Family with 5+ Units	None	1960-79	0.579164	0	0.043206	0.37763	21	37566.4	7.30006e-05
2A	Single-Family Attached	Ducted Heat Pump	1960-79	0	1	0	0	69	237678	0.00020325
2A	Single-Family Attached	Ducted Heating	1960-79	0.93991	0	0.0283515	0.0317385	193	687685	0.000622019
2A	Single-Family Attached	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
2A	Single-Family Attached	Non-Ducted Heating	1960-79	0.338891	0	0.143602	0.517507	57	106150	0.000124142
2A	Single-Family Attached	None	1960-79	0.338891	0	0.143602	0.517507	57	106150	1.20863e-05
2A	Single-Family Detached	Ducted Heat Pump	1960-79	0	1	0	0	69	237678	0.0029471
2A	Single-Family Detached	Ducted Heating	1960-79	0.93991	0	0.0283515	0.0317385	193	687685	0.0116582
2A	Single-Family Detached	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
2A	Single-Family Detached	Non-Ducted Heating	1960-79	0.338891	0	0.143602	0.517507	57	106150	0.00264046
2A	Single-Family Detached	None	1960-79	0.338891	0	0.143602	0.517507	57	106150	0.000107232
2A	Mobile Home	Ducted Heat Pump	1980-99	0	1	0	0	13	131609	0.00141425
2A	Mobile Home	Ducted Heating	1980-99	0.822492	0	0	0.177508	27	300884	0.00368454
2A	Mobile Home	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
2A	Mobile Home	Non-Ducted Heating	1980-99	0.047955	0	0.215389	0.736656	24	133892	0.000623735
2A	Mobile Home	None	1980-99	0.047955	0	0.215389	0.736656	24	133892	5.4016e-05
2A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1980-99	0	1	0	0	13	39999.9	0.000590651
2A	Multi-Family with 2 - 4 Units	Ducted Heating	1980-99	0.966721	0	0.0206066	0.0126729	90	328168	0.0016323
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1980-99	0.722156	0	0.18475	0.0930944	32	54298.7	0.000281091
2A	Multi-Family with 2 - 4 Units	None	1980-99	0.722156	0	0.18475	0.0930944	32	54298.7	3.33207e-05
2A	Multi-Family with 5+ Units	Ducted Heat Pump	1980-99	0	1	0	0	13	39999.9	0.002049
2A	Multi-Family with 5+ Units	Ducted Heating	1980-99	0.966721	0	0.0206066	0.0126729	90	328168	0.00554581
2A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
2A	Multi-Family with 5+ Units	Non-Ducted Heating	1980-99	0.722156	0	0.18475	0.0930944	32	54298.7	0.000939491
2A	Multi-Family with 5+ Units	None	1980-99	0.722156	0	0.18475	0.0930944	32	54298.7	0.000101159
2A	Single-Family Attached	Ducted Heat Pump	1980-99	0	1	0	0	116	398127	0.000496289
2A	Single-Family Attached	Ducted Heating	1980-99	0.966617	0	0.0101138	0.0232689	245	917907	0.00106588
2A	Single-Family Attached	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
2A	Single-Family Attached	Non-Ducted Heating	1980-99	0.569054	0	0.112543	0.318403	37	70643.5	0.000198269
2A	Single-Family Attached	None	1980-99	0.569054	0	0.112543	0.318403	37	70643.5	2.20464e-05
2A	Single-Family Detached	Ducted Heat Pump	1980-99	0	1	0	0	116	398127	0.00469215
2A	Single-Family Detached	Ducted Heating	1980-99	0.966617	0	0.0101138	0.0232689	245	917907	0.0142873
2A	Single-Family Detached	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
2A	Single-Family Detached	Non-Ducted Heating	1980-99	0.569054	0	0.112543	0.318403	37	70643.5	0.00238691
2A	Single-Family Detached	None	1980-99	0.569054	0	0.112543	0.318403	37	70643.5	0.000144948
2A	Mobile Home	Ducted Heat Pump	2000-09	0	1	0	0	6	27136.1	0.000481221
2A	Mobile Home	Ducted Heating	2000-09	1	0	0	0	11	56069.8	0.00150164
2A	Mobile Home	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
2A	Mobile Home	Non-Ducted Heating	2000-09	0.726896	0	0.136552	0.136552	6	15820.7	6.8935e-05
2A	Mobile Home	None	2000-09	0.726896	0	0.136552	0.136552	6	15820.7	1.99306e-05
2A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2000-09	0	1	0	0	5	8674.59	0.000228492
2A	Multi-Family with 2 - 4 Units	Ducted Heating	2000-09	0.9789	0	0.0211004	0	40	71568.3	0.000677658
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2000-09	1	0	0	0	13	10999.4	3.29942e-05
2A	Multi-Family with 2 - 4 Units	None	2000-09	1	0	0	0	13	10999.4	9.66649e-06
2A	Multi-Family with 5+ Units	Ducted Heat Pump	2000-09	0	1	0	0	5	8674.59	0.00111378
2A	Multi-Family with 5+ Units	Ducted Heating	2000-09	0.9789	0	0.0211004	0	40	71568.3	0.00306309
2A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
2A	Multi-Family with 5+ Units	Non-Ducted Heating	2000-09	1	0	0	0	13	10999.4	0.000149757
2A	Multi-Family with 5+ Units	None	2000-09	1	0	0	0	13	10999.4	4.32389e-05
2A	Single-Family Attached	Ducted Heat Pump	2000-09	0	1	0	0	66	104211	0.000342472
2A	Single-Family Attached	Ducted Heating	2000-09	0.985765	0	0.00538066	0.00885408	177	335017	0.000707492
2A	Single-Family Attached	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
2A	Single-Family Attached	Non-Ducted Heating	2000-09	0.578514	0	0.100669	0.320817	17	17327.5	5.04176e-05
2A	Single-Family Attached	None	2000-09	0.578514	0	0.100669	0.320817	17	17327.5	1.35094e-05
2A	Single-Family Detached	Ducted Heat Pump	2000-09	0	1	0	0	66	104211	0.00328718
2A	Single-Family Detached	Ducted Heating	2000-09	0.985765	0	0.00538066	0.00885408	177	335017	0.0107982
2A	Single-Family Detached	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
2A	Single-Family Detached	Non-Ducted Heating	2000-09	0.578514	0	0.100669	0.320817	17	17327.5	0.000728478
2A	Single-Family Detached	None	2000-09	0.578514	0	0.100669	0.320817	17	17327.5	9.06623e-05
2A	Mobile Home	Ducted Heat Pump	2010s	0	1	0	0	6	27136.1	0.000125993
2A	Mobile Home	Ducted Heating	2010s	1	0	0	0	11	56069.8	0.000530196
2A	Mobile Home	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
2A	Mobile Home	Non-Ducted Heating	2010s	0.726896	0	0.136552	0.136552	6	15820.7	2.29562e-05
2A	Mobile Home	None	2010s	0.726896	0	0.136552	0.136552	6	15820.7	4.81088e-06
2A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2010s	0	1	0	0	5	8674.59	6.48512e-05
2A	Multi-Family with 2 - 4 Units	Ducted Heating	2010s	0.9789	0	0.0211004	0	40	71568.3	0.000280994
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2010s	1	0	0	0	13	10999.4	1.19154e-05
2A	Multi-Family with 2 - 4 Units	None	2010s	1	0	0	0	13	10999.4	3.87475e-06
