Dependency=Geometry Building Type ACS	Dependency=PUMA	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	Option=<1940	source_count	source_weight	sampling_probability
10 to 19 Unit	AL, 00500	0.0171149	0.0122249	0.0317848	0.151589	0.105134	0.0806846	0.581907	0.0195599	0	52	409	2.99192e-06
2 Unit	AL, 00500	0.0263852	0.0967458	0.219877	0.306948	0.102902	0.0738786	0.103782	0	0.0694811	144	1137	8.31737e-06
20 to 49 Unit	AL, 00500	0	0.0611511	0	0.0143885	0.0503597	0.0359712	0.0863309	0.751799	0	21	278	2.03363e-06
3 or 4 Unit	AL, 00500	0.00927644	0.0324675	0.127087	0.327458	0.181818	0.227273	0.0723562	0.0204082	0.00185529	110	1078	7.88579e-06
5 to 9 Unit	AL, 00500	0.0059657	0.00969426	0.0178971	0.284862	0.302759	0.182699	0.168531	0.0275913	0	143	1341	9.80969e-06
50 or more Unit	AL, 00500	0	0	0.0110701	0.527675	0	0.350554	0.0627306	0	0.0479705	14	271	1.98242e-06
Mobile Home	AL, 00500	0.0104855	0.000574548	0.0147946	0.124246	0.267596	0.432634	0.110169	0.0395001	0	372	6962	5.09285e-05
Single-Family Attached	AL, 00500	0.0488998	0.0220049	0.0268949	0.132029	0.146699	0.114914	0.283619	0.207824	0.0171149	53	409	2.99192e-06
Single-Family Detached	AL, 00500	0.0347333	0.0800513	0.138231	0.155137	0.107906	0.171051	0.188902	0.0861067	0.0378821	3461	41286	0.000302016
10 to 19 Unit	AL, 00600	0	0	0.211443	0.31592	0.293532	0.133499	0.0456053	0	0	29	1206	8.96946e-06
2 Unit	AL, 00600	0.00763359	0.118866	0.12759	0.189749	0.154853	0.266085	0.0523446	0.0130862	0.0697928	41	917	6.82009e-06
20 to 49 Unit	AL, 00600	0	0.118174	0.0322292	0.132498	0.237243	0.189794	0.287377	0.00268577	0	38	1117	8.30755e-06
3 or 4 Unit	AL, 00600	0.02177	0.0828206	0.0534785	0.237577	0.316611	0.106484	0.140085	0.0302887	0.010885	73	2113	1.57152e-05
5 to 9 Unit	AL, 00600	0.0193956	0.0554804	0.075327	0.118629	0.296346	0.185386	0.196211	0.0419486	0.0112765	77	2217	1.64886e-05
50 or more Unit	AL, 00600	0.012285	0	0.212531	0.412776	0.300983	0.039312	0.00982801	0	0.012285	32	814	6.054e-06
Mobile Home	AL, 00600	0	0.00690738	0.025641	0.0984825	0.254526	0.406279	0.151648	0.0565149	0	356	9555	7.10639e-05
Single-Family Attached	AL, 00600	0	0.035668	0.0583658	0.0862516	0.259403	0.350195	0.191958	0.00648508	0.0116732	85	1542	1.14684e-05
Single-Family Detached	AL, 00600	0.0445002	0.0998015	0.178648	0.192938	0.132184	0.145994	0.110728	0.0461088	0.0490964	2445	47865	0.00035599
10 to 19 Unit	AL, 00700	0	0.0871022	0.080402	0.20938	0.21608	0.0921273	0.314908	0	0	23	597	4.39957e-06
2 Unit	AL, 00700	0.0180305	0.253814	0.156727	0.176144	0.17337	0.110957	0.110957	0	0	46	721	5.31337e-06
20 to 49 Unit	AL, 00700	0	0.0473186	0	0.0662461	0.280757	0.157729	0.375394	0.0725552	0	21	317	2.33612e-06
3 or 4 Unit	AL, 00700	0	0.0530387	0.118232	0.152486	0.253039	0.241989	0.137017	0.0441989	0	35	905	6.66936e-06
5 to 9 Unit	AL, 00700	0	0.0686106	0.204117	0.267581	0.261578	0.174957	0.0231561	0	0	47	1166	8.59276e-06
50 or more Unit	AL, 00700	0	0	0	0.117647	0.462185	0.0168067	0.378151	0.0252101	0	11	119	8.76965e-07
Mobile Home	AL, 00700	0	0.00427523	0.0263773	0.146406	0.256191	0.356941	0.134791	0.0750181	0	605	12397	9.1359e-05
Single-Family Attached	AL, 00700	0.014881	0.0535714	0.0922619	0	0.258929	0.431548	0.10119	0	0.047619	19	336	2.47613e-06
Single-Family Detached	AL, 00700	0.0613109	0.0848854	0.144766	0.187738	0.117529	0.160415	0.139158	0.042972	0.0612251	1926	34953	0.000257584
10 to 19 Unit	AL, 00800	0	0	0	0.261084	0.110837	0.453202	0.123153	0.0517241	0	13	406	2.976e-06
2 Unit	AL, 00800	0	0.058309	0.300292	0.125364	0.0145773	0.199223	0.0767736	0.109815	0.115646	46	1029	7.54262e-06
20 to 49 Unit	AL, 00800	0.0098445	0.0274757	0.059067	0.140816	0.182813	0.179352	0.231217	0.134736	0.0346779	1428	42765	1.1948e-06
3 or 4 Unit	AL, 00800	0.038526	0.117253	0.110553	0.0686767	0.113903	0.18593	0.266332	0.0954774	0.00335008	33	597	4.37604e-06
5 to 9 Unit	AL, 00800	0	0	0	0.0488527	0.202073	0.510733	0.157661	0.080681	0	39	1351	9.90291e-06
50 or more Unit	AL, 00800	0.0123081	0.0227761	0.0492527	0.134121	0.191409	0.189364	0.221668	0.154812	0.024289	1994	48911	6.15724e-07
Mobile Home	AL, 00800	0	0.00045205	0.0402971	0.147239	0.214272	0.357507	0.200129	0.0399096	0.000193736	611	15485	0.000113506
Single-Family Attached	AL, 00800	0.061008	0.0066313	0.035809	0.0464191	0.465517	0.100796	0.177719	0.030504	0.0755968	28	754	5.52684e-06
Single-Family Detached	AL, 00800	0.0435299	0.0510876	0.0843709	0.146262	0.113851	0.171891	0.270966	0.07301	0.0450317	1930	41282	0.000302599
10 to 19 Unit	AL, 00900	0	0.0762195	0.0121951	0.259146	0.448171	0.114329	0.0609756	0.00914634	0.0198171	32	656	4.90523e-06
2 Unit	AL, 00900	0.267766	0.134518	0.104061	0.19797	0.072335	0.0393401	0.109137	0.0406091	0.034264	46	788	5.89223e-06
20 to 49 Unit	AL, 00900	0	0.198895	0	0.0248619	0.107735	0.154696	0.140884	0.149171	0.223757	18	362	2.70684e-06
3 or 4 Unit	AL, 00900	0	0.0916129	0.221935	0.249032	0.213548	0.109677	0.0819355	0.0135484	0.0187097	67	1550	1.15901e-05
5 to 9 Unit	AL, 00900	0.0120563	0.0247823	0.202947	0.330208	0.268587	0.0683188	0.0100469	0.0221031	0.0609511	62	1493	1.11639e-05
50 or more Unit	AL, 00900	0	0.107317	0.095122	0.34878	0.0121951	0.117073	0.0658537	0.0170732	0.236585	23	410	3.06576e-06
Mobile Home	AL, 00900	0.00260611	0.013589	0	0.0934475	0.276247	0.434847	0.142033	0.0372301	0	246	5372	4.01689e-05
Single-Family Attached	AL, 00900	0.123626	0.14011	0.101648	0.230769	0.321429	0.0412088	0	0	0.0412088	14	364	2.7218e-06
Single-Family Detached	AL, 00900	0.0997576	0.158926	0.161786	0.170013	0.0807431	0.0863276	0.111825	0.0326623	0.0979596	1852	36709	0.00027449
10 to 19 Unit	AL, 01000	0.0538922	0.0224551	0.0778443	0.209581	0.13024	0.254491	0.251497	0	0	22	668	4.9314e-06
2 Unit	AL, 01000	0.0249145	0.122618	0.200293	0.188569	0.128481	0.242794	0.0107474	0.0439668	0.037616	87	2047	1.51117e-05
20 to 49 Unit	AL, 01000	0	0.0379507	0.0702087	0.157495	0.11575	0.254269	0.214421	0.149905	0	24	527	3.8905e-06
3 or 4 Unit	AL, 01000	0.0217523	0.0779456	0.0712991	0.294864	0.0996979	0.197583	0.0767372	0.0598187	0.100302	71	1655	1.22178e-05
5 to 9 Unit	AL, 01000	0	0.0983819	0.0970874	0.217476	0.124272	0.121036	0.216828	0.0802589	0.0446602	56	1545	1.14057e-05
50 or more Unit	AL, 01000	0.0645161	0.0564516	0	0.0806452	0.262097	0.157258	0.0806452	0.298387	0	14	248	1.83082e-06
Mobile Home	AL, 01000	0.000190858	0.00424659	0.0316824	0.138611	0.234803	0.372936	0.162611	0.0503865	0.00453288	869	20958	0.000154719
Single-Family Attached	AL, 01000	0.0191257	0.0737705	0.057377	0.327869	0.0928962	0.117486	0.204918	0.0355191	0.0710383	24	366	2.70194e-06
Single-Family Detached	AL, 01000	0.0572787	0.111989	0.144539	0.156558	0.115362	0.130487	0.156941	0.0407162	0.0861289	2520	52166	0.000385107
10 to 19 Unit	AL, 01100	0	0.0155211	0.134146	0.21286	0.143016	0.0643016	0.348115	0.0820399	0	38	902	6.73455e-06
2 Unit	AL, 01100	0.108108	0.150579	0.1361	0.250965	0.126448	0.107143	0.023166	0.0637066	0.0337838	46	1036	7.73504e-06
20 to 49 Unit	AL, 01100	0	0	0.0647619	0.0838095	0.424762	0.0666667	0.165714	0	0.194286	22	525	3.91978e-06
3 or 4 Unit	AL, 01100	0.0354331	0.106299	0.0976378	0.237795	0.189764	0.185039	0.0858268	0.0220472	0.0401575	52	1270	9.48212e-06
5 to 9 Unit	AL, 01100	0.0535382	0.130354	0.0637803	0.162477	0.16946	0.175512	0.128957	0.0907821	0.0251397	68	2148	1.60375e-05
50 or more Unit	AL, 01100	0.0330789	0.0279898	0.109415	0.226463	0.124682	0.221374	0.119593	0.0737913	0.0636132	29	393	2.93424e-06
Mobile Home	AL, 01100	0.00129138	0.0108007	0.0165532	0.117985	0.268373	0.37591	0.129256	0.0798309	0	343	8518	6.35975e-05
Single-Family Attached	AL, 01100	0.026506	0.124096	0.0915663	0.237349	0.149398	0.119277	0.208434	0.026506	0.0168675	37	830	6.19698e-06
Single-Family Detached	AL, 01100	0.104949	0.124313	0.125391	0.208266	0.132916	0.0864006	0.11442	0.0227841	0.0805599	1700	38009	0.000283785
10 to 19 Unit	AL, 01200	0	0.0186155	0.008726	0.0770797	0.277196	0.341478	0.110529	0.15445	0.0119255	112	3438	2.48169e-05
2 Unit	AL, 01200	0	0.0921659	0.221198	0.108295	0.12212	0.205069	0.129032	0	0.12212	20	434	3.13279e-06
20 to 49 Unit	AL, 01200	0	0	0	0.0715321	0.38086	0.180764	0.194297	0.172547	0	53	2069	1.49349e-05
3 or 4 Unit	AL, 01200	0.00914381	0.0681629	0.0939318	0.280133	0.118038	0.240233	0.151288	0.039069	0	47	1203	8.68374e-06
5 to 9 Unit	AL, 01200	0	0	0.00282258	0.163306	0.344355	0.287097	0.115323	0.0870968	0	104	2480	1.79017e-05
50 or more Unit	AL, 01200	0.0179949	0	0	0.0685518	0.185947	0.277635	0.251071	0.1988	0	57	1167	8.42385e-06
Mobile Home	AL, 01200	0.00781363	0.00347272	0.010997	0.0897121	0.185791	0.364636	0.264216	0.0710462	0.00231515	355	6911	4.98864e-05
Single-Family Attached	AL, 01200	0	0.00308031	0.0118812	0.10099	0.194499	0.325853	0.276128	0.0875688	0	205	4545	3.28077e-05
Single-Family Detached	AL, 01200	0.0105188	0.0270771	0.040747	0.121716	0.150307	0.253394	0.288766	0.0879813	0.0194931	3183	64741	0.000467327
10 to 19 Unit	AL, 01301	0.0383424	0.124322	0.0956623	0.253679	0.254454	0.066615	0.0588691	0.0511232	0.0569326	98	2582	1.95626e-05
2 Unit	AL, 01301	0.0549451	0.158974	0.197802	0.326007	0.0490842	0.0454212	0.0820513	0.0336996	0.0520147	48	1365	1.0342e-05
20 to 49 Unit	AL, 01301	0.0435042	0.0715137	0.0840286	0.216925	0.31764	0.199046	0.0429082	0.0244338	0	61	1678	1.27134e-05
3 or 4 Unit	AL, 01301	0.0485762	0.13526	0.186348	0.319933	0.0871022	0.0561139	0.0917085	0.0259631	0.048995	86	2388	1.80928e-05
5 to 9 Unit	AL, 01301	0.0986294	0.0749798	0.0561677	0.28057	0.133298	0.0362806	0.0763236	0.150497	0.0932545	122	3721	2.81923e-05
50 or more Unit	AL, 01301	0.0600522	0.0557006	0.0800696	0.240209	0.302872	0.125326	0.0939948	0.0295909	0.0121845	53	1149	8.70545e-06
Mobile Home	AL, 01301	0.0514874	0	0	0.329519	0.129291	0.167048	0.127002	0.163616	0.0320366	38	874	6.62191e-06
Single-Family Attached	AL, 01301	0.236059	0.171004	0.0836431	0.200743	0.139405	0.0576208	0.0446097	0	0.0669145	28	538	4.0762e-06
Single-Family Detached	AL, 01301	0.187385	0.291713	0.1597	0.0975302	0.0409254	0.0246704	0.00959404	0.00463255	0.183849	1555	36481	0.0002764
10 to 19 Unit	AL, 01302	0.0458493	0.107857	0.199354	0.254898	0.167845	0.0482731	0.0446374	0.0173702	0.113916	183	4951	3.69535e-05
2 Unit	AL, 01302	0.165445	0.105759	0.136126	0.280628	0.0617801	0.0586387	0.0649215	0	0.126702	39	955	7.12799e-06
20 to 49 Unit	AL, 01302	0.0554936	0.0549359	0.129392	0.133575	0.0959286	0.0995538	0.128834	0.0432236	0.259063	148	3586	2.67654e-05
3 or 4 Unit	AL, 01302	0.0275067	0.142561	0.13428	0.227448	0.102928	0.047619	0.0553091	0.0411121	0.221236	117	3381	2.52353e-05
5 to 9 Unit	AL, 01302	0.0362485	0.0995953	0.175084	0.261834	0.138659	0.0362485	0.0371283	0.0732008	0.142002	189	5683	4.24171e-05
50 or more Unit	AL, 01302	0.0319448	0.0851009	0.059034	0.101968	0.0935344	0.0728341	0.151035	0.280603	0.123946	181	3913	2.92061e-05
Mobile Home	AL, 01302	0	0	0	0.131673	0.266904	0.346975	0.126335	0.103203	0.024911	20	562	4.1947e-06
Single-Family Attached	AL, 01302	0.0316027	0.217833	0.181716	0.113995	0.207675	0.0846501	0.0158014	0.0485327	0.0981941	47	886	6.61297e-06
Single-Family Detached	AL, 01302	0.121858	0.273307	0.183252	0.0897987	0.0296871	0.0231149	0.0249423	0.00423185	0.249808	1360	31192	0.000232813
10 to 19 Unit	AL, 01303	0.00373972	0.0145849	0.100723	0.226627	0.185241	0.248068	0.155946	0.0650711	0	237	8022	5.90267e-05
2 Unit	AL, 01303	0.0885201	0.100968	0.19917	0.338866	0.0650069	0.178423	0	0.0290456	0	21	723	5.31992e-06
20 to 49 Unit	AL, 01303	0	0.0229022	0.0305988	0.211376	0.147362	0.297165	0.221138	0.0658907	0.00356674	135	5327	3.91966e-05
3 or 4 Unit	AL, 01303	0.00894569	0.0549521	0.233546	0.25623	0.24345	0.109585	0.0408946	0.0325879	0.0198083	118	3130	2.30309e-05
5 to 9 Unit	AL, 01303	0.0193178	0.0130526	0.0779673	0.253394	0.222938	0.230247	0.137139	0.010268	0.035677	199	5746	4.22797e-05
50 or more Unit	AL, 01303	0.00544959	0.00440159	0.0823727	0.177741	0.164955	0.223014	0.153008	0.182981	0.00607839	171	4771	3.51056e-05
Mobile Home	AL, 01303	0	0.0184275	0.039312	0.243243	0.140049	0.423833	0.0945946	0.0233415	0.017199	33	814	5.98949e-06
Single-Family Attached	AL, 01303	0.0147427	0.00917942	0.0586926	0.209736	0.241168	0.135466	0.247566	0.0792768	0.00417246	175	3595	2.64524e-05
Single-Family Detached	AL, 01303	0.0582716	0.15722	0.171362	0.182494	0.0864446	0.126436	0.104968	0.0534027	0.0594002	2117	45185	0.000332476
10 to 19 Unit	AL, 01304	0.0240087	0	0.0196435	0.347399	0.217897	0.176792	0.173881	0.0105493	0.029829	66	2749	2.08486e-05
2 Unit	AL, 01304	0.0133971	0.0449761	0.169378	0.263158	0.111005	0.104306	0.184689	0.0956938	0.0133971	32	1045	7.92536e-06
20 to 49 Unit	AL, 01304	0.0180879	0	0.0956072	0.241602	0.0736434	0.114987	0.250646	0.205426	0	22	774	5.87007e-06
3 or 4 Unit	AL, 01304	0	0.0191874	0.154063	0.286682	0.226862	0.108352	0.112302	0.0886005	0.00395034	56	1772	1.3439e-05
5 to 9 Unit	AL, 01304	0.00976864	0.0627249	0.0583548	0.261954	0.304113	0.106427	0.131362	0.0580977	0.00719794	93	3890	2.9502e-05
50 or more Unit	AL, 01304	0	0.0667939	0.0801527	0.125954	0.127863	0.122137	0.173664	0.303435	0	24	524	3.97405e-06
Mobile Home	AL, 01304	0.0106357	0	0.0570462	0.132705	0.15035	0.414068	0.169205	0.0659898	0	190	4137	3.13753e-05
Single-Family Attached	AL, 01304	0	0.0764572	0.0234671	0.127176	0.30053	0.202877	0.196821	0.0529902	0.0196821	55	1321	1.00185e-05
Single-Family Detached	AL, 01304	0.0258717	0.107847	0.136432	0.227403	0.137187	0.130492	0.154681	0.0433999	0.0366873	2623	58249	0.000441764
10 to 19 Unit	AL, 01305	0	0.122793	0.0906902	0.11878	0.11236	0.340289	0.0377207	0.177368	0	31	1246	9.01706e-06
2 Unit	AL, 01305	0.0177453	0.109603	0.200418	0.0240084	0.107516	0.156576	0.106472	0.146138	0.131524	34	958	6.93286e-06
20 to 49 Unit	AL, 01305	0	0.0410397	0	0.0629275	0	0.157319	0.283174	0.45554	0	17	731	5.29009e-06
3 or 4 Unit	AL, 01305	0	0.142212	0	0.232506	0.361174	0.0406321	0.223476	0	0	17	443	3.2059e-06
5 to 9 Unit	AL, 01305	0.0486111	0.0810185	0.143519	0.162037	0.00617284	0.290895	0.108796	0.131173	0.0277778	33	1296	9.37887e-06
50 or more Unit	AL, 01305	0	0	0.0293578	0.165138	0.289908	0.244037	0.0422018	0.19633	0.0330275	18	545	3.94404e-06
Mobile Home	AL, 01305	0	0.0075662	0.00588483	0.0870113	0.193779	0.348045	0.287095	0.0617907	0.00882724	125	2379	1.72163e-05
Single-Family Attached	AL, 01305	0.0750708	0.0368272	0.147309	0.0580737	0.0127479	0.0977337	0.548159	0	0.0240793	31	706	5.10917e-06
Single-Family Detached	AL, 01305	0.0740484	0.148767	0.131301	0.108955	0.114123	0.115606	0.160466	0.0579467	0.0887863	1891	41797	0.000302476
10 to 19 Unit	AL, 01400	0.0308219	0.0171233	0	0.260274	0.479452	0.123288	0.0410959	0.0479452	0	15	292	2.18056e-06
2 Unit	AL, 01400	0.0609555	0.102691	0.345415	0.18067	0.149368	0.0867655	0.0499725	0.0126304	0.0115321	88	1821	1.35987e-05
20 to 49 Unit	AL, 01400	0	0	0	0.12093	0.432558	0.167442	0.27907	0	0	12	215	1.60555e-06
3 or 4 Unit	AL, 01400	0.00882553	0.00543109	0.211134	0.28649	0.31093	0.1222	0.0257977	0.0291921	0	68	1473	1.09999e-05
5 to 9 Unit	AL, 01400	0.0410256	0.0346154	0.142949	0.167308	0.192949	0.213462	0.162821	0.0448718	0	64	1560	1.16496e-05
50 or more Unit	AL, 01400	0.0283019	0	0.273585	0.0849057	0.132075	0.150943	0	0.245283	0.0849057	10	106	7.91575e-07
Mobile Home	AL, 01400	0	0.00310156	0.0390219	0.140868	0.214368	0.336339	0.184435	0.0818667	0	721	13864	0.000103532
Single-Family Attached	AL, 01400	0.0402685	0.10962	0.120805	0.230425	0.0246085	0.239374	0.0604027	0	0.174497	22	447	3.33806e-06
Single-Family Detached	AL, 01400	0.0765935	0.112069	0.136938	0.209587	0.128448	0.130564	0.0969958	0.0257315	0.0830721	2080	38280	0.000285863
10 to 19 Unit	AL, 01500	0	0	0.0156951	0.313901	0.123318	0.459641	0.0874439	0	0	13	446	3.28081e-06
2 Unit	AL, 01500	0.0267176	0.0916031	0.265267	0.200382	0.223282	0.0763359	0.104962	0	0.0114504	36	524	3.85458e-06
20 to 49 Unit	AL, 01500	0.0098445	0.0274757	0.059067	0.140816	0.182813	0.179352	0.231217	0.134736	0.0346779	1428	42765	8.6066e-07
3 or 4 Unit	AL, 01500	0.0714286	0	0.227679	0.138393	0.0446429	0.383929	0.0267857	0	0.107143	13	224	1.64776e-06
5 to 9 Unit	AL, 01500	0.0819672	0	0.117486	0.120219	0	0.237705	0.150273	0.29235	0	13	366	2.69232e-06
50 or more Unit	AL, 01500	0.0123081	0.0227761	0.0492527	0.134121	0.191409	0.189364	0.221668	0.154812	0.024289	1994	48911	8.6066e-07
Mobile Home	AL, 01500	0.00368809	0	0.0165437	0.0979979	0.23667	0.410221	0.164067	0.0708114	0	413	9490	6.9809e-05
Single-Family Attached	AL, 01500	0	0	0	0.328671	0.181818	0.335664	0.153846	0	0	15	143	1.05192e-06
Single-Family Detached	AL, 01500	0.0211565	0.0588473	0.0843157	0.139347	0.126411	0.172819	0.285705	0.0876039	0.0237933	1737	32236	0.000237131
10 to 19 Unit	AL, 01600	0.00427233	0.0206725	0.0463065	0.136852	0.142089	0.252894	0.259647	0.136163	0.00110254	201	7256	5.26677e-05
2 Unit	AL, 01600	0.117499	0.0494201	0.0489158	0.209279	0.131114	0.082703	0.200202	0.105396	0.0554715	72	1983	1.43936e-05
20 to 49 Unit	AL, 01600	0.0047373	0.00753661	0.0340224	0.0661068	0.185401	0.161499	0.291344	0.222438	0.0269165	146	4644	3.37084e-05
3 or 4 Unit	AL, 01600	0.0154589	0.0808374	0.110145	0.200322	0.127214	0.183253	0.0876006	0.170048	0.0251208	102	3105	2.25376e-05
5 to 9 Unit	AL, 01600	0.0510445	0.0323342	0.0650318	0.173842	0.172025	0.131517	0.219982	0.134423	0.0198002	174	5505	3.9958e-05
50 or more Unit	AL, 01600	0	0.0240803	0.0394649	0.0785953	0.14214	0.149833	0.136455	0.408696	0.0207358	148	2990	2.17029e-05
Mobile Home	AL, 01600	0	0	0.0238675	0.0560156	0.284949	0.345835	0.261081	0.0248417	0.00340964	85	2053	1.49017e-05
Single-Family Attached	AL, 01600	0.0308642	0.0273369	0.015873	0.0899471	0.321869	0.140212	0.146384	0.195767	0.031746	62	1134	8.23113e-06
