Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Floor Area	Dependency=Vintage	Option=1 ACH50	Option=2 ACH50	Option=3 ACH50	Option=4 ACH50	Option=5 ACH50	Option=6 ACH50	Option=7 ACH50	Option=8 ACH50	Option=10 ACH50	Option=15 ACH50	Option=20 ACH50	Option=25 ACH50	Option=30 ACH50	Option=40 ACH50	Option=50 ACH50	sampling_probability
1A	1500-1999	1940s	0	0	6e-06	7.3e-05	0.000392	0.001258	0.002932	0.005517	0.021845	0.125881	0.186083	0.181877	0.146391	0.1805	0.147246	0.000137172
2A	1500-1999	1940s	0	0	6e-06	7.3e-05	0.000392	0.001258	0.002932	0.005517	0.021845	0.125881	0.186083	0.181877	0.146391	0.1805	0.147246	0.00113721
2B	1500-1999	1940s	0	1.4e-05	0.000448	0.002977	0.009356	0.019399	0.031251	0.042736	0.111287	0.308854	0.221433	0.124007	0.063644	0.047696	0.016897	0.000192676
3A	1500-1999	1940s	0	1e-06	4.4e-05	0.000421	0.001779	0.004717	0.009366	0.015344	0.050588	0.211429	0.22967	0.176947	0.117492	0.116727	0.065475	0.00130508
3B	1500-1999	1940s	0	1.4e-05	0.000448	0.002977	0.009356	0.019399	0.031251	0.042736	0.111287	0.308854	0.221433	0.124007	0.063644	0.047696	0.016897	0.000911245
3C	1500-1999	1940s	0	7e-06	0.000236	0.001741	0.005962	0.013283	0.022752	0.032812	0.091553	0.286315	0.232373	0.143079	0.079263	0.064527	0.026095	0.000229967
4A	1500-1999	1940s	0	0	2.3e-05	0.000243	0.001104	0.003118	0.006527	0.011193	0.039196	0.18202	0.2191	0.182712	0.129345	0.138018	0.087403	0.00211165
4B	1500-1999	1940s	0	1.1e-05	0.000361	0.00249	0.008061	0.01713	0.028178	0.039235	0.104575	0.302093	0.225844	0.130596	0.068782	0.053009	0.019635	7.58307e-05
4C	1500-1999	1940s	0	1e-06	4.3e-05	0.000406	0.001723	0.004588	0.009142	0.015025	0.049748	0.209432	0.229093	0.177448	0.11834	0.118155	0.066856	0.000282499
5A	1500-1999	1940s	0	4e-06	0.000144	0.001141	0.004165	0.009797	0.017575	0.026382	0.077554	0.26538	0.236026	0.155883	0.09139	0.079157	0.035401	0.00221063
5B	1500-1999	1940s	0	1.1e-05	0.000361	0.00249	0.008061	0.01713	0.028178	0.039235	0.104575	0.302093	0.225844	0.130596	0.068782	0.053009	0.019635	0.000371689
6A	1500-1999	1940s	0	1.1e-05	0.00034	0.002361	0.007699	0.016477	0.027273	0.038183	0.102503	0.299805	0.227054	0.132606	0.070403	0.054731	0.020554	0.00059962
6B	1500-1999	1940s	0	9e-06	0.000296	0.002098	0.006967	0.015145	0.025409	0.035995	0.098129	0.294747	0.229426	0.136813	0.073865	0.05848	0.022622	9.05447e-05
7A	1500-1999	1940s	0	1.1e-05	0.00034	0.002361	0.007699	0.016477	0.027273	0.038183	0.102503	0.299805	0.227054	0.132606	0.070403	0.054731	0.020554	7.7458e-05
7B	1500-1999	1940s	0	9e-06	0.000296	0.002098	0.006967	0.015145	0.025409	0.035995	0.098129	0.294747	0.229426	0.136813	0.073865	0.05848	0.022622	1.10988e-05
1A	2000-2499	1940s	0	0	1.4e-05	0.000154	0.000747	0.002218	0.004843	0.008609	0.031611	0.159502	0.207931	0.18441	0.13721	0.154812	0.107938	9.28762e-05
2A	2000-2499	1940s	0	0	1.4e-05	0.000154	0.000747	0.002218	0.004843	0.008609	0.031611	0.159502	0.207931	0.18441	0.13721	0.154812	0.107938	0.000769981
2B	2000-2499	1940s	0	3.1e-05	0.000849	0.005059	0.014512	0.027884	0.042109	0.054457	0.131961	0.323637	0.203553	0.103147	0.048841	0.033573	0.010384	0.000130457
3A	2000-2499	1940s	0	2e-06	9.4e-05	0.000802	0.003092	0.007601	0.014147	0.021918	0.067141	0.246812	0.235992	0.16479	0.101059	0.09196	0.044591	0.000883646
3B	2000-2499	1940s	0	3.1e-05	0.000849	0.005059	0.014512	0.027884	0.042109	0.054457	0.131961	0.323637	0.203553	0.103147	0.048841	0.033573	0.010384	0.000616986
3C	2000-2499	1940s	0	1.5e-05	0.00046	0.003048	0.009548	0.019735	0.031705	0.043251	0.112263	0.309784	0.220745	0.12304	0.06291	0.046959	0.016537	0.000155706
4A	2000-2499	1940s	0	1e-06	5.1e-05	0.000476	0.001977	0.005173	0.01015	0.016458	0.053519	0.218305	0.231479	0.175042	0.114487	0.111861	0.061023	0.00142976
4B	2000-2499	1940s	0	2.4e-05	0.000688	0.004269	0.012639	0.02491	0.038418	0.050587	0.125432	0.319962	0.209896	0.109854	0.053392	0.037739	0.01219	5.13435e-05
4C	2000-2499	1940s	0	2e-06	9e-05	0.000772	0.002996	0.007402	0.013834	0.021506	0.06616	0.244938	0.235843	0.165581	0.101996	0.093275	0.045604	0.000191275
5A	2000-2499	1940s	0	9e-06	0.000288	0.002056	0.006858	0.01495	0.025135	0.035671	0.09747	0.293949	0.22977	0.137454	0.074396	0.059056	0.022938	0.00149677
5B	2000-2499	1940s	0	2.4e-05	0.000688	0.004269	0.012639	0.02491	0.038418	0.050587	0.125432	0.319962	0.209896	0.109854	0.053392	0.037739	0.01219	0.000251664
6A	2000-2499	1940s	0	2.2e-05	0.000649	0.004058	0.01211	0.024036	0.037303	0.049391	0.123352	0.318596	0.211773	0.11195	0.054849	0.039105	0.012805	0.000405991
6B	2000-2499	1940s	0	1.9e-05	0.000566	0.003627	0.011036	0.022262	0.035024	0.046922	0.118981	0.315433	0.215531	0.116354	0.057977	0.042089	0.014179	6.1306e-05
7A	2000-2499	1940s	0	2.2e-05	0.000649	0.004058	0.01211	0.024036	0.037303	0.049391	0.123352	0.318596	0.211773	0.11195	0.054849	0.039105	0.012805	5.24453e-05
7B	2000-2499	1940s	0	1.9e-05	0.000566	0.003627	0.011036	0.022262	0.035024	0.046922	0.118981	0.315433	0.215531	0.116354	0.057977	0.042089	0.014179	7.51481e-06
1A	2500-2999	1940s	0	1e-06	3.1e-05	0.000313	0.001372	0.003762	0.007687	0.012913	0.044012	0.195018	0.224344	0.180658	0.124318	0.128511	0.077061	5.27092e-05
2A	2500-2999	1940s	0	1e-06	3.1e-05	0.000313	0.001372	0.003762	0.007687	0.012913	0.044012	0.195018	0.224344	0.180658	0.124318	0.128511	0.077061	0.000436981
2B	2500-2999	1940s	0	6.6e-05	0.001552	0.008262	0.021647	0.038582	0.054661	0.066889	0.15099	0.327965	0.180936	0.083009	0.036294	0.022926	0.006221	7.40371e-05
3A	2500-2999	1940s	0	5e-06	0.000193	0.00147	0.005172	0.011784	0.020567	0.030142	0.085872	0.278329	0.234301	0.14837	0.084081	0.070169	0.029544	0.000501489
3B	2500-2999	1940s	0	6.6e-05	0.001552	0.008262	0.021647	0.038582	0.054661	0.066889	0.15099	0.327965	0.180936	0.083009	0.036294	0.022926	0.006221	0.000350153
3C	2500-2999	1940s	0	3.2e-05	0.000863	0.005139	0.014722	0.028235	0.042554	0.054926	0.13274	0.323983	0.202748	0.102372	0.048342	0.033138	0.010206	8.83667e-05
4A	2500-2999	1940s	0	3e-06	0.000108	0.000901	0.00341	0.008259	0.015187	0.023288	0.070392	0.252859	0.236262	0.16209	0.097995	0.087781	0.041464	0.00081142
4B	2500-2999	1940s	0	5.1e-05	0.001274	0.007064	0.019083	0.03486	0.05042	0.062812	0.145071	0.327719	0.188689	0.089414	0.040121	0.026048	0.007374	2.91385e-05
4C	2500-2999	1940s	0	5e-06	0.000186	0.001425	0.005034	0.011513	0.020162	0.029638	0.084773	0.276689	0.234596	0.149378	0.085032	0.07131	0.03026	0.000108552
5A	2500-2999	1940s	0	1.9e-05	0.000554	0.003551	0.010835	0.02192	0.03458	0.046439	0.118117	0.314752	0.216222	0.117214	0.058608	0.042711	0.014479	0.000849451
5B	2500-2999	1940s	0	5.1e-05	0.001274	0.007064	0.019083	0.03486	0.05042	0.062812	0.145071	0.327719	0.188689	0.089414	0.040121	0.026048	0.007374	0.000142825
6A	2500-2999	1940s	0	4.7e-05	0.001195	0.006715	0.018325	0.033746	0.049135	0.061558	0.14319	0.327411	0.19102	0.09144	0.041366	0.027086	0.007767	0.000230409
6B	2500-2999	1940s	0	4e-05	0.001052	0.006047	0.016824	0.031486	0.046476	0.058919	0.139139	0.326429	0.195787	0.095718	0.044044	0.029371	0.008667	3.47925e-05
7A	2500-2999	1940s	0	4.7e-05	0.001195	0.006715	0.018325	0.033746	0.049135	0.061558	0.14319	0.327411	0.19102	0.09144	0.041366	0.027086	0.007767	2.97639e-05
7B	2500-2999	1940s	0	4e-05	0.001052	0.006047	0.016824	0.031486	0.046476	0.058919	0.139139	0.326429	0.195787	0.095718	0.044044	0.029371	0.008667	4.26482e-06
1A	3000-3999	1940s	0	2e-06	8.2e-05	0.000706	0.002764	0.006894	0.013	0.020373	0.063371	0.239349	0.235221	0.167795	0.104705	0.097128	0.048611	4.69746e-05
2A	3000-3999	1940s	0	2e-06	8.2e-05	0.000706	0.002764	0.006894	0.013	0.020373	0.063371	0.239349	0.235221	0.167795	0.104705	0.097128	0.048611	0.000389439
2B	3000-3999	1940s	0	0.000165	0.003167	0.014568	0.034006	0.055126	0.072088	0.082322	0.170192	0.318394	0.148974	0.060353	0.023892	0.013602	0.003151	6.59821e-05
3A	3000-3999	1940s	0	1.4e-05	0.000448	0.002977	0.009355	0.019393	0.031237	0.042713	0.11122	0.308703	0.221418	0.124069	0.063713	0.047785	0.016954	0.000446928
3B	3000-3999	1940s	0	0.000165	0.003167	0.014568	0.034006	0.055126	0.072088	0.082322	0.170192	0.318394	0.148974	0.060353	0.023892	0.013602	0.003151	0.000312057
3C	3000-3999	1940s	0	8e-05	0.001822	0.009432	0.024105	0.042056	0.058501	0.07046	0.155865	0.32716	0.173919	0.077595	0.033178	0.020471	0.005356	7.87527e-05
4A	3000-3999	1940s	0	8e-06	0.00026	0.001887	0.006385	0.014081	0.023902	0.0342	0.094437	0.290042	0.231104	0.140348	0.076906	0.06188	0.024561	0.00072314
4B	3000-3999	1940s	0	0.00013	0.002641	0.01263	0.030391	0.050499	0.067428	0.078395	0.165803	0.322415	0.157514	0.065926	0.026784	0.015665	0.003779	2.59684e-05
4C	3000-3999	1940s	0	1.4e-05	0.000431	0.002885	0.009114	0.01898	0.030687	0.042097	0.110066	0.307608	0.222218	0.125208	0.064591	0.048687	0.017414	9.67423e-05
5A	3000-3999	1940s	0	4.7e-05	0.001195	0.006704	0.018289	0.03368	0.049047	0.061461	0.143019	0.327292	0.191167	0.091608	0.041482	0.027195	0.007814	0.000757033
5B	3000-3999	1940s	0	0.00013	0.002641	0.01263	0.030391	0.050499	0.067428	0.078395	0.165803	0.322415	0.157514	0.065926	0.026784	0.015665	0.003779	0.000127286
6A	3000-3999	1940s	0	0.000121	0.002495	0.012078	0.029331	0.049108	0.065992	0.077154	0.164342	0.323442	0.160134	0.067703	0.027733	0.016363	0.004002	0.000205341
6B	3000-3999	1940s	0	0.000103	0.002206	0.010966	0.027175	0.046247	0.063001	0.074526	0.161122	0.325251	0.16564	0.071547	0.029813	0.017906	0.004498	3.10072e-05
7A	3000-3999	1940s	0	0.000121	0.002495	0.012078	0.029331	0.049108	0.065992	0.077154	0.164342	0.323442	0.160134	0.067703	0.027733	0.016363	0.004002	2.65256e-05
7B	3000-3999	1940s	0	0.000103	0.002206	0.010966	0.027175	0.046247	0.063001	0.074526	0.161122	0.325251	0.16564	0.071547	0.029813	0.017906	0.004498	3.80082e-06
1A	4000+	1940s	3.7e-05	0.004054	0.030007	0.0754	0.112943	0.128703	0.125423	0.111176	0.167429	0.183485	0.045517	0.01141	0.003078	0.001185	0.000154	2.38177e-05
2A	4000+	1940s	3.7e-05	0.004054	0.030007	0.0754	0.112943	0.128703	0.125423	0.111176	0.167429	0.183485	0.045517	0.01141	0.003078	0.001185	0.000154	0.000197458
2B	4000+	1940s	0.000973	0.0551	0.171934	0.211257	0.181473	0.132652	0.08948	0.057904	0.059734	0.035129	0.003776	0.000492	7.7e-05	1.7e-05	2e-06	3.34551e-05
3A	4000+	1940s	0.000218	0.014717	0.072745	0.134269	0.158833	0.14988	0.124818	0.096645	0.123343	0.102504	0.017717	0.003353	0.000718	0.000219	2.1e-05	0.000226608
3B	4000+	1940s	0.000973	0.0551	0.171934	0.211257	0.181473	0.132652	0.08948	0.057904	0.059734	0.035129	0.003776	0.000492	7.7e-05	1.7e-05	2e-06	0.000158224
3C	4000+	1940s	0.000654	0.038638	0.13817	0.191705	0.181211	0.142951	0.102659	0.070048	0.076872	0.049881	0.006135	0.000886	0.000151	3.6e-05	3e-06	3.99303e-05
4A	4000+	1940s	0.000132	0.009938	0.055544	0.113388	0.145097	0.145824	0.127978	0.103653	0.139717	0.12714	0.024798	0.00516	0.001195	0.000394	4.1e-05	0.000366656
4B	4000+	1940s	0.000842	0.048986	0.160274	0.205191	0.182036	0.136523	0.094054	0.061961	0.065264	0.039677	0.004466	0.000603	9.7e-05	2.2e-05	2e-06	1.31668e-05
4C	4000+	1940s	0.00021	0.014327	0.071449	0.132832	0.157994	0.149724	0.125121	0.097166	0.124458	0.104086	0.018164	0.003469	0.000749	0.00023	2.2e-05	4.90516e-05
5A	4000+	1940s	0.000493	0.029227	0.115117	0.174727	0.177319	0.148019	0.111354	0.079033	0.090849	0.063528	0.008661	0.001357	0.000248	6.4e-05	5e-06	0.000383841
5B	4000+	1940s	0.000842	0.048986	0.160274	0.205191	0.182036	0.136523	0.094054	0.061961	0.065264	0.039677	0.004466	0.000603	9.7e-05	2.2e-05	2e-06	6.45381e-05
6A	4000+	1940s	0.000828	0.047314	0.156625	0.203123	0.18207	0.137663	0.095465	0.063237	0.067033	0.041167	0.0047	0.000642	0.000105	2.4e-05	2e-06	0.000104115
6B	4000+	1940s	0.000757	0.043748	0.149214	0.198706	0.181922	0.139917	0.098401	0.065956	0.07087	0.04443	0.005206	0.000724	0.000119	2.8e-05	2e-06	1.57217e-05
7A	4000+	1940s	0.000828	0.047314	0.156625	0.203123	0.18207	0.137663	0.095465	0.063237	0.067033	0.041167	0.0047	0.000642	0.000105	2.4e-05	2e-06	1.34494e-05
7B	4000+	1940s	0.000757	0.043748	0.149214	0.198706	0.181922	0.139917	0.098401	0.065956	0.07087	0.04443	0.005206	0.000724	0.000119	2.8e-05	2e-06	1.92714e-06
1A	500-749	1940s	0	0	1e-06	1.3e-05	8.6e-05	0.000327	0.000883	0.001879	0.008773	0.067593	0.130531	0.156998	0.149492	0.223393	0.260032	5.92711e-05
2A	500-749	1940s	0	0	1e-06	1.3e-05	8.6e-05	0.000327	0.000883	0.001879	0.008773	0.067593	0.130531	0.156998	0.149492	0.223393	0.260032	0.000491381
2B	500-749	1940s	0	2e-06	0.0001	0.000845	0.003232	0.007895	0.014617	0.022542	0.068636	0.249646	0.236162	0.163558	0.099639	0.090007	0.043119	8.32541e-05
3A	500-749	1940s	0	0	7e-06	9.2e-05	0.000477	0.001495	0.003418	0.006322	0.024469	0.135479	0.192958	0.183284	0.144158	0.173145	0.134696	0.00056392
3B	500-749	1940s	0	2e-06	0.0001	0.000845	0.003232	0.007895	0.014617	0.022542	0.068636	0.249646	0.236162	0.163558	0.099639	0.090007	0.043119	0.000393744
3C	500-749	1940s	0	1e-06	4.9e-05	0.000459	0.001917	0.005032	0.009905	0.016107	0.052585	0.216088	0.230897	0.175663	0.115457	0.113417	0.062424	9.93676e-05
4A	500-749	1940s	0	0	4e-06	4.9e-05	0.000276	0.000926	0.002235	0.004329	0.017827	0.110024	0.173414	0.178148	0.149297	0.192727	0.170745	0.000912435
4B	500-749	1940s	0	2e-06	7.9e-05	0.000691	0.00272	0.006805	0.012863	0.020196	0.062957	0.238595	0.235203	0.16815	0.105098	0.097653	0.048988	3.2766e-05
4C	500-749	1940s	0	0	7e-06	8.9e-05	0.000461	0.00145	0.003325	0.006167	0.023965	0.133656	0.191676	0.183041	0.144597	0.174544	0.137023	0.000122066
5A	500-749	1940s	0	0	2.7e-05	0.000282	0.001262	0.003508	0.007241	0.012264	0.04223	0.190334	0.222547	0.181486	0.126179	0.131946	0.080692	0.000955201
5B	500-749	1940s	0	2e-06	7.9e-05	0.000691	0.00272	0.006805	0.012863	0.020196	0.062957	0.238595	0.235203	0.16815	0.105098	0.097653	0.048988	0.000160605
6A	500-749	1940s	0	2e-06	7.4e-05	0.000649	0.002576	0.006492	0.012349	0.019499	0.061239	0.235107	0.234751	0.169479	0.10677	0.100079	0.050934	0.000259093
6B	500-749	1940s	0	1e-06	6.3e-05	0.000565	0.00229	0.00587	0.011324	0.018096	0.057724	0.227668	0.233487	0.172084	0.110245	0.105282	0.0553	3.91239e-05
7A	500-749	1940s	0	2e-06	7.4e-05	0.000649	0.002576	0.006492	0.012349	0.019499	0.061239	0.235107	0.234751	0.169479	0.10677	0.100079	0.050934	3.34692e-05
7B	500-749	1940s	0	1e-06	6.3e-05	0.000565	0.00229	0.00587	0.011324	0.018096	0.057724	0.227668	0.233487	0.172084	0.110245	0.105282	0.0553	4.79575e-06
1A	750-999	1940s	0	0	1e-06	2e-05	0.000125	0.000457	0.00119	0.00246	0.011043	0.079396	0.143991	0.164924	0.150933	0.215473	0.229986	0.000100821
2A	750-999	1940s	0	0	1e-06	2e-05	0.000125	0.000457	0.00119	0.00246	0.011043	0.079396	0.143991	0.164924	0.150933	0.215473	0.229986	0.000835846
2B	750-999	1940s	0	4e-06	0.000145	0.001156	0.004218	0.00991	0.017751	0.026607	0.078054	0.266167	0.23595	0.15546	0.090964	0.078608	0.035007	0.000141616
3A	750-999	1940s	0	0	1.1e-05	0.000133	0.000658	0.001987	0.004399	0.007909	0.029474	0.152611	0.203948	0.184411	0.139379	0.160047	0.115033	0.000959235
3B	750-999	1940s	0	4e-06	0.000145	0.001156	0.004218	0.00991	0.017751	0.026607	0.078054	0.266167	0.23595	0.15546	0.090964	0.078608	0.035007	0.000669764
3C	750-999	1940s	0	2e-06	7.2e-05	0.000636	0.002534	0.006408	0.012217	0.019323	0.060811	0.234228	0.234611	0.169792	0.107184	0.100703	0.051479	0.000169026
4A	750-999	1940s	0	0	6e-06	7.3e-05	0.000389	0.001252	0.002921	0.005498	0.021782	0.125632	0.185894	0.181836	0.146453	0.180703	0.147562	0.00155206
4B	750-999	1940s	0	3e-06	0.000116	0.000951	0.003569	0.008587	0.015703	0.023966	0.071993	0.255803	0.236342	0.160729	0.096483	0.085755	0.040002	5.57355e-05
4C	750-999	1940s	0	0	1.1e-05	0.000128	0.000636	0.001928	0.00428	0.007719	0.028889	0.150712	0.202825	0.184366	0.13994	0.161475	0.117089	0.000207637
5A	750-999	1940s	0	1e-06	4.1e-05	0.000399	0.001699	0.004537	0.009059	0.014911	0.049454	0.208745	0.228905	0.177637	0.118645	0.118653	0.067314	0.00162481
5B	750-999	1940s	0	3e-06	0.000116	0.000951	0.003569	0.008587	0.015703	0.023966	0.071993	0.255803	0.236342	0.160729	0.096483	0.085755	0.040002	0.000273191
6A	750-999	1940s	0	3e-06	0.000108	0.000897	0.003392	0.008217	0.015116	0.023192	0.070161	0.25245	0.236274	0.162291	0.098203	0.088047	0.041649	0.00044072
6B	750-999	1940s	0	2e-06	9.1e-05	0.000781	0.003022	0.007453	0.013912	0.021606	0.066392	0.245368	0.235874	0.165402	0.101782	0.092968	0.045348	6.65503e-05
7A	750-999	1940s	0	3e-06	0.000108	0.000897	0.003392	0.008217	0.015116	0.023192	0.070161	0.25245	0.236274	0.162291	0.098203	0.088047	0.041649	5.69316e-05
7B	750-999	1940s	0	2e-06	9.1e-05	0.000781	0.003022	0.007453	0.013912	0.021606	0.066392	0.245368	0.235874	0.165402	0.101782	0.092968	0.045348	8.15764e-06
1A	0-499	1950s	0	0	0	8e-06	5.4e-05	0.000217	0.000608	0.001341	0.006563	0.055023	0.114627	0.146218	0.14601	0.230547	0.298785	4.85982e-05
2A	0-499	1950s	0	0	0	8e-06	5.4e-05	0.000217	0.000608	0.001341	0.006563	0.055023	0.114627	0.146218	0.14601	0.230547	0.298785	0.000402898
2B	0-499	1950s	0	1e-06	6.4e-05	0.000576	0.002323	0.005938	0.011431	0.018237	0.058069	0.228399	0.233642	0.171853	0.109908	0.104746	0.054812	6.82625e-05
3A	0-499	1950s	0	0	4e-06	5.7e-05	0.000315	0.001041	0.002482	0.004757	0.019302	0.116038	0.178416	0.179779	0.148324	0.188096	0.161388	0.000462375
3B	0-499	1950s	0	1e-06	6.4e-05	0.000576	0.002323	0.005938	0.011431	0.018237	0.058069	0.228399	0.233642	0.171853	0.109908	0.104746	0.054812	0.000322843
3C	0-499	1950s	0	1e-06	3e-05	0.000303	0.001341	0.003694	0.007573	0.01275	0.043576	0.193904	0.22393	0.180863	0.124763	0.12933	0.077941	8.14745e-05
4A	0-499	1950s	0	0	2e-06	3e-05	0.00018	0.000634	0.001596	0.003203	0.013823	0.092651	0.157595	0.171762	0.151009	0.205894	0.20162	0.000748133
4B	0-499	1950s	0	1e-06	5e-05	0.000465	0.001936	0.005078	0.009987	0.016227	0.052912	0.216887	0.231113	0.175444	0.115112	0.112865	0.061924	2.68659e-05
4C	0-499	1950s	0	0	4e-06	5.5e-05	0.000304	0.001008	0.002412	0.004636	0.018884	0.114332	0.177005	0.179341	0.148628	0.189438	0.163953	0.000100086
5A	0-499	1950s	0	0	1.7e-05	0.000184	0.000872	0.00254	0.005455	0.009562	0.034465	0.168307	0.212633	0.184056	0.134279	0.14819	0.099441	0.000783198
5B	0-499	1950s	0	1e-06	5e-05	0.000465	0.001936	0.005078	0.009987	0.016227	0.052912	0.216887	0.231113	0.175444	0.115112	0.112865	0.061924	0.000131685
6A	0-499	1950s	0	1e-06	4.7e-05	0.000437	0.001833	0.004837	0.009569	0.015631	0.051345	0.213251	0.2302	0.176477	0.116703	0.115418	0.064251	0.000212438
6B	0-499	1950s	0	1e-06	3.9e-05	0.000378	0.001621	0.004354	0.008735	0.014441	0.048181	0.205601	0.227948	0.178409	0.119979	0.120889	0.069423	3.20789e-05
