Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=R-13	Option=R-19	Option=R-30	Option=R-38	Option=None
CR08	1960s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	1960s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	1960s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR11	1960s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	1970s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	1970s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	1970s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	1970s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	1970s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	1970s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	1970s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	1970s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	1970s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR11	1970s	Pier and Beam	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	1980s	Pier and Beam	0.620000	0.140000	0.240000	0.000000	0.000000	0.000000
CR05	1980s	Pier and Beam	0.770000	0.060000	0.170000	0.000000	0.000000	0.000000
CR03	1980s	Pier and Beam	0.410000	0.260000	0.330000	0.000000	0.000000	0.000000
CR04	1980s	Pier and Beam	0.560000	0.200000	0.240000	0.000000	0.000000	0.000000
CR06	1980s	Pier and Beam	0.230000	0.170000	0.600000	0.000000	0.000000	0.000000
CR07	1980s	Pier and Beam	0.470000	0.200000	0.330000	0.000000	0.000000	0.000000
CR08	1980s	Pier and Beam	0.410000	0.120000	0.470000	0.000000	0.000000	0.000000
CR09	1980s	Pier and Beam	0.570000	0.200000	0.230000	0.000000	0.000000	0.000000
CR10	1980s	Pier and Beam	0.410000	0.510000	0.080000	0.000000	0.000000	0.000000
CR11	1980s	Pier and Beam	0.230000	0.170000	0.600000	0.000000	0.000000	0.000000
CR02	1990s	Pier and Beam	0.230000	0.170000	0.600000	0.000000	0.000000	0.000000
CR05	1990s	Pier and Beam	0.620000	0.140000	0.240000	0.000000	0.000000	0.000000
CR03	1990s	Pier and Beam	0.770000	0.060000	0.170000	0.000000	0.000000	0.000000
CR04	1990s	Pier and Beam	0.410000	0.260000	0.330000	0.000000	0.000000	0.000000
CR06	1990s	Pier and Beam	0.560000	0.200000	0.240000	0.000000	0.000000	0.000000
CR07	1990s	Pier and Beam	0.230000	0.170000	0.600000	0.000000	0.000000	0.000000
CR08	1990s	Pier and Beam	0.470000	0.200000	0.330000	0.000000	0.000000	0.000000
CR09	1990s	Pier and Beam	0.410000	0.120000	0.470000	0.000000	0.000000	0.000000
CR10	1990s	Pier and Beam	0.570000	0.200000	0.230000	0.000000	0.000000	0.000000
CR11	1990s	Pier and Beam	0.410000	0.510000	0.080000	0.000000	0.000000	0.000000
CR02	2000s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
CR05	2000s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
CR03	2000s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
CR04	2000s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
CR06	2000s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
CR07	2000s	Pier and Beam	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR08	2000s	Pier and Beam	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR09	2000s	Pier and Beam	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
CR10	2000s	Pier and Beam	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
CR11	2000s	Pier and Beam	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR02	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	<1950	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	<1950	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	<1950	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	<1950	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	<1950	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	<1950	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	<1950	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	<1950	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	<1950	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	<1950	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1950s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1950s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1950s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1950s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1950s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1950s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1950s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1950s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1950s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1950s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1960s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1960s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1960s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1960s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1960s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1960s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1960s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1960s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1960s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1960s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1970s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1970s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1970s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1970s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1970s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1970s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1970s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1970s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1970s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1970s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1980s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1980s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1980s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1980s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1980s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1980s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1980s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1980s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1980s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1980s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1990s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1990s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1990s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1990s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1990s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1990s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1990s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1990s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1990s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1990s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2000s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2000s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2000s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2000s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2000s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2000s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2000s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2000s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2000s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2000s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	<1950	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	<1950	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	<1950	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	<1950	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	<1950	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	<1950	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	<1950	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	<1950	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	<1950	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	<1950	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1950s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1950s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1950s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1950s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1950s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1950s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1950s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1950s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1950s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1950s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1960s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1960s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1960s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1960s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1960s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1960s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1960s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1960s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1960s	Slab	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
