Parameter Name	Option Name	Measure Dir	Measure Arg 1	Measure Arg 2	...		
Location EPW	USA_GA_Athens-Ben.Epps.AP.723110_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_GA_Athens-Ben.Epps.AP.723110_TMY3.epw			
Location EPW	USA_SC_Greer.Greenville-Spartanburg.AP.723120_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_SC_Greer.Greenville-Spartanburg.AP.723120_TMY3.epw			
Location EPW	USA_NC_Charlotte-Douglas.Intl.AP.723140_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_NC_Charlotte-Douglas.Intl.AP.723140_TMY3.epw			
Location EPW	USA_NC_Asheville.Rgnl.AP.723150_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_NC_Asheville.Rgnl.AP.723150_TMY3.epw			
Location EPW	USA_NC_Greensboro-Piedmont.Triad.Intl.AP.723170_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_NC_Greensboro-Piedmont.Triad.Intl.AP.723170_TMY3.epw			
Location EPW	USA_TN_Bristol-TriCities.Rgnl.AP.723183_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_TN_Bristol-TriCities.Rgnl.AP.723183_TMY3.epw			
Location EPW	USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw			
Location EPW	USA_TN_Chattanooga-Lovell.Field.AP.723240_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_TN_Chattanooga-Lovell.Field.AP.723240_TMY3.epw			
Location EPW	USA_TN_Knoxville-McGhee.Tyson.AP.723260_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_TN_Knoxville-McGhee.Tyson.AP.723260_TMY3.epw			
Location EPW	USA_TN_Nashville.Intl.AP.723270_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_TN_Nashville.Intl.AP.723270_TMY3.epw			
Location EPW	USA_TN_Memphis.Intl.AP.723340_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_TN_Memphis.Intl.AP.723340_TMY3.epw			
Location EPW	USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw			
Location EPW	USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw			
Location EPW	USA_TX_Wichita.Falls.Muni.AP.723510_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_TX_Wichita.Falls.Muni.AP.723510_TMY3.epw			
Location EPW	USA_OK_Oklahoma.City-Will.Rogers.World.AP.723530_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_OK_Oklahoma.City-Will.Rogers.World.AP.723530_TMY3.epw			
Location EPW	USA_OK_Tulsa.Intl.AP.723560_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_OK_Tulsa.Intl.AP.723560_TMY3.epw			
Location EPW	USA_TX_Amarillo.Intl.AP.723630_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_TX_Amarillo.Intl.AP.723630_TMY3.epw			
Location EPW	USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw			
Location EPW	USA_NM_Tucumcari.AP.723676_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_NM_Tucumcari.AP.723676_TMY3.epw			
Location EPW	USA_AZ_Prescott-Love.Field.723723_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_AZ_Prescott-Love.Field.723723_TMY3.epw			
Location EPW	USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_AZ_Flagstaff-Pulliam.AP.723755_TMY3.epw			
Location EPW	USA_CA_Barstow.Daggett.AP.723815_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_CA_Barstow.Daggett.AP.723815_TMY3.epw			
Location EPW	USA_CA_Bakersfield-Meadows.Field.723840_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_CA_Bakersfield-Meadows.Field.723840_TMY3.epw			
Location EPW	USA_NV_Las.Vegas-McCarran.Intl.AP.723860_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_NV_Las.Vegas-McCarran.Intl.AP.723860_TMY3.epw			
Location EPW	USA_CA_Fresno.Air.Terminal.723890_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_CA_Fresno.Air.Terminal.723890_TMY3.epw			
Location EPW	USA_CA_Santa.Maria.Public.AP.723940_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_CA_Santa.Maria.Public.AP.723940_TMY3.epw			
Location EPW	USA_VA_Richmond.Intl.AP.724010_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_VA_Richmond.Intl.AP.724010_TMY3.epw			
Location EPW	USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw			
Location EPW	USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw			
Location EPW	USA_NJ_Atlantic.City.Intl.AP.724070_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_NJ_Atlantic.City.Intl.AP.724070_TMY3.epw			
Location EPW	USA_PA_Philadelphia.Intl.AP.724080_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_PA_Philadelphia.Intl.AP.724080_TMY3.epw			
Location EPW	USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3.epw			
Location EPW	USA_VA_Lynchburg.Rgnl.AP-Preston.Glen.Field.724100_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_VA_Lynchburg.Rgnl.AP-Preston.Glen.Field.724100_TMY3.epw			
Location EPW	USA_VA_Roanoke.Rgnl.AP-Woodrum.Field.724110_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_VA_Roanoke.Rgnl.AP-Woodrum.Field.724110_TMY3.epw			
Location EPW	USA_WV_Charleston-Yeager.AP.724140_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_WV_Charleston-Yeager.AP.724140_TMY3.epw			
Location EPW	USA_WV_Elkins-Randolph.County.AP.724170_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_WV_Elkins-Randolph.County.AP.724170_TMY3.epw			
Location EPW	USA_KY_Cincinnati-Northern.Kentucky.AP.724210_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_KY_Cincinnati-Northern.Kentucky.AP.724210_TMY3.epw			
Location EPW	USA_KY_Lexington-Bluegrass.AP.724220_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_KY_Lexington-Bluegrass.AP.724220_TMY3.epw			
Location EPW	USA_KY_Louisville-Standiford.Field.724230_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_KY_Louisville-Standiford.Field.724230_TMY3.epw			
Location EPW	USA_WV_Huntington-Tri.State.Walker.Long.Field.724250_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_WV_Huntington-Tri.State.Walker.Long.Field.724250_TMY3.epw			
Location EPW	USA_OH_Columbus-Port.Columbus.Intl.AP.724280_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_OH_Columbus-Port.Columbus.Intl.AP.724280_TMY3.epw			
Location EPW	USA_OH_Dayton.Intl.AP.724290_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_OH_Dayton.Intl.AP.724290_TMY3.epw			
Location EPW	USA_IN_Evansville.Rgnl.AP.724320_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_IN_Evansville.Rgnl.AP.724320_TMY3.epw			
Location EPW	USA_MO_St.Louis-Lambert.Intl.AP.724340_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_MO_St.Louis-Lambert.Intl.AP.724340_TMY3.epw			
Location EPW	USA_IN_Indianapolis.Intl.AP.724380_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_IN_Indianapolis.Intl.AP.724380_TMY3.epw			
Location EPW	USA_IL_Springfield-Capital.AP.724390_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_IL_Springfield-Capital.AP.724390_TMY3.epw			
Location EPW	USA_MO_Springfield.Rgnl.AP.724400_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_MO_Springfield.Rgnl.AP.724400_TMY3.epw			
Location EPW	USA_MO_Columbia.Rgnl.AP.724450_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_MO_Columbia.Rgnl.AP.724450_TMY3.epw			
Location EPW	USA_MO_Kansas.City.Intl.AP.724460_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_MO_Kansas.City.Intl.AP.724460_TMY3.epw			
Location EPW	USA_KS_Wichita-Mid.Continent.AP.724500_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_KS_Wichita-Mid.Continent.AP.724500_TMY3.epw			
Location EPW	USA_KS_Dodge.City.Rgnl.AP.724510_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_KS_Dodge.City.Rgnl.AP.724510_TMY3.epw			
Location EPW	USA_KS_Topeka-Phillip.Billard.Muni.AP.724560_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_KS_Topeka-Phillip.Billard.Muni.AP.724560_TMY3.epw			
Location EPW	USA_CO_Alamosa.Muni.AP.724620_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_CO_Alamosa.Muni.AP.724620_TMY3.epw			
Location EPW	USA_CO_Pueblo.Mem.AP.724640_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_CO_Pueblo.Mem.AP.724640_TMY3.epw			
Location EPW	USA_KS_Goodland-Renner.Field.724650_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_KS_Goodland-Renner.Field.724650_TMY3.epw			
Location EPW	USA_CO_Colorado.Springs-Peterson.Field.724660_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_CO_Colorado.Springs-Peterson.Field.724660_TMY3.epw			
Location EPW	USA_CO_Eagle.County.Rgnl.AP.724675_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_CO_Eagle.County.Rgnl.AP.724675_TMY3.epw			
Location EPW	USA_CO_Boulder-Broomfield-Jefferson.County.AP.724699_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_CO_Boulder-Broomfield-Jefferson.County.AP.724699_TMY3.epw			
Location EPW	USA_UT_Cedar.City.Muni.AP.724755_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_UT_Cedar.City.Muni.AP.724755_TMY3.epw			
Location EPW	USA_CO_Grand.Junction-Walker.Field.724760_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_CO_Grand.Junction-Walker.Field.724760_TMY3.epw			
Location EPW	USA_CA_Sacramento.Exec.AP.724830_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_CA_Sacramento.Exec.AP.724830_TMY3.epw			
Location EPW	USA_NV_Tonopah.AP.724855_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_NV_Tonopah.AP.724855_TMY3.epw			
Location EPW	USA_NV_Ely-Yelland.Field.724860_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_NV_Ely-Yelland.Field.724860_TMY3.epw			
Location EPW	USA_NV_Reno-Tahoe.Intl.AP.724880_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_NV_Reno-Tahoe.Intl.AP.724880_TMY3.epw			
Location EPW	USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw			
Location EPW	USA_NJ_Newark.Intl.AP.725020_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_NJ_Newark.Intl.AP.725020_TMY3.epw			
Location EPW	USA_CT_Bridgeport-Sikorsky.Mem.AP.725040_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_CT_Bridgeport-Sikorsky.Mem.AP.725040_TMY3.epw			
Location EPW	USA_RI_Providence-T.F.Green.State.AP.725070_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_RI_Providence-T.F.Green.State.AP.725070_TMY3.epw			
Location EPW	USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3.epw			
Location EPW	USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw			
Location EPW	USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw			
Location EPW	USA_PA_Harrisburg-Capital.City.AP.725118_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_PA_Harrisburg-Capital.City.AP.725118_TMY3.epw			
Location EPW	USA_PA_Wilkes-Barre-Scranton.Intl.AP.725130_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_PA_Wilkes-Barre-Scranton.Intl.AP.725130_TMY3.epw			
Location EPW	USA_PA_Williamsport.Rgnl.AP.725140_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_PA_Williamsport.Rgnl.AP.725140_TMY3.epw			
Location EPW	USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY3.epw			
Location EPW	USA_PA_Allentown-Lehigh.Valley.Intl.AP.725170_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_PA_Allentown-Lehigh.Valley.Intl.AP.725170_TMY3.epw			
Location EPW	USA_NY_Albany.County.AP.725180_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_NY_Albany.County.AP.725180_TMY3.epw			
Location EPW	USA_NY_Syracuse-Hancock.Intl.AP.725190_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_NY_Syracuse-Hancock.Intl.AP.725190_TMY3.epw			
Location EPW	USA_PA_Pittsburgh.Intl.AP.725200_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_PA_Pittsburgh.Intl.AP.725200_TMY3.epw			
Location EPW	USA_OH_Akron.Canton.Rgnl.AP.725210_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_OH_Akron.Canton.Rgnl.AP.725210_TMY3.epw			
Location EPW	USA_OH_Cleveland-Hopkins.Intl.AP.725240_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_OH_Cleveland-Hopkins.Intl.AP.725240_TMY3.epw			
Location EPW	USA_OH_Mansfield-Lahm.Muni.AP.725246_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_OH_Mansfield-Lahm.Muni.AP.725246_TMY3.epw			
Location EPW	USA_OH_Youngstown.Rgnl.AP.725250_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_OH_Youngstown.Rgnl.AP.725250_TMY3.epw			
Location EPW	USA_PA_Erie.Intl.AP.725260_TMY3.epw	SetResidentialEPWFile	weather_directory=../../../../../weather	weather_file_name=USA_PA_Erie.Intl.AP.725260_TMY3.epw			
