occupants,lighting_interior,lighting_exterior,cooking_range,refrigerator,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,plug_loads_tv,plug_loads_other,hot_water_fixtures,lighting_garage,lighting_exterior_holiday,ceiling_fan
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0464,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0232,0.51,0,0.517,0,0.344
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.018,0.504,0,0.503,0,0.34
1,0.0495,0.461,0,0.55,0,0,0,0,0,0.0284,0.465,0.285,0.461,0,0.258
1,0.0833,0.503,0,0.55,0,0,0,0,0,0.0464,0.516,0.231,0.503,0,0.34
1,0.253,0.601,0,0.58,0,0,0,0,0,0.0747,0.617,0.0546,0.601,0,0.487
0.333,0.0495,0.657,0,0.611,0,0,0,0,0,0.103,0.465,0.403,0.657,0,0.258
0.333,0.192,0.475,0,0.626,0.601,0.667,0,0,0,0.126,0.579,0.0428,0.475,0,0.33
0.333,0.196,0.322,0,0.626,0.146,0.133,0,0,0,0.149,0.579,0.128,0.322,0,0.279
0,0.0495,0.336,0,0.611,0,0,0,0,0,0.168,0.465,0,0.336,0,0.258
0,0.0495,0.35,0,0.611,0,0,0,0,0,0.186,0.465,0.171,0.35,0,0.258
0,0.0495,0.336,0.25,0.641,0,0,0,0,0,0.196,0.465,0,0.336,0,0.258
0.333,0.18,0.392,0,0.641,0,0,0,0,0,0.222,0.591,0,0.392,0,0.302
0.333,0.182,0.433,0,0.641,0,0,0,0,0,0.235,0.585,0,0.433,0,0.316
0.333,0.196,0.447,0,0.626,0,0,0,0,0,0.263,0.597,0,0.447,0,0.321
0.333,0.234,0.545,0,0.672,0,0,0,0,0,0.327,0.61,0.453,0.545,0.0288,0.354
1,0.798,0.741,0.717,0.733,0,0,0,0,0,0.402,0.974,0.357,0.741,0.346,0.741
1,0.979,0.881,0.05,0.764,0,0,0,0,0,0.541,0.993,0.109,0.881,0.593,0.881
1,0.991,0.937,0,0.733,0,0,0,0,0,0.758,0.937,0.128,0.937,0.683,0.937
1,0.823,0.993,0,0.718,0,0,0,0,0,0.936,0.88,0,0.993,1,0.993
1,0.24,0.965,0,0.703,0,0,0,0,0,0.887,0.591,0.128,0.965,0.679,0.493
1,0.0495,0.825,0,0.672,0,0,0,0,0,0.536,0.465,0.0857,0.825,0.132,0.258
1,0.0495,0.699,0,0.626,0,0,0,0,0,0.232,0.465,0,0.699,0.0658,0.258
1,0.0495,0.559,0,0.611,0,0,0,0,0,0.0954,0.465,0,0.559,0,0.258
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0464,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0232,0.465,0,0.517,0,0.258
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.018,0.465,0.135,0.503,0,0.258
1,0.0513,0.461,0,0.55,0,0,0,0,0,0.0284,0.51,0.104,0.461,0,0.326
1,0.0833,0.503,0,0.55,0,0,0,0,0,0.0464,0.516,0.0889,0.503,0,0.34
1,0.253,0.601,0.467,0.58,0,0,0,0,0,0.0747,0.617,0.168,0.601,0,0.487
1,0.449,0.657,0.567,0.611,0,0,0,0,0,0.103,0.787,0.0915,0.657,0,0.657
1,0.477,0.475,0,0.626,0,0,0,0,0,0.126,0.806,0.251,0.475,0,0.475
1,0.49,0.322,0,0.626,0,0,0,0,0,0.149,0.806,0.225,0.322,0,0.322
0.333,0.192,0.336,0,0.611,0,0,0,0,0,0.168,0.579,0.0603,0.336,0,0.284
0.333,0.186,0.35,0,0.611,0,0,0,0,0,0.186,0.585,0.467,0.35,0,0.288
0.333,0.181,0.336,0,0.641,0,0,0,0,0,0.196,0.591,0.491,0.336,0,0.284
0.333,0.18,0.392,0,0.641,0,0,0,0,0,0.222,0.591,0.0428,0.392,0,0.302
0.333,0.182,0.433,0,0.641,0,0,0,0,0,0.235,0.585,0,0.433,0,0.316
0.333,0.196,0.447,0.717,0.626,0,0,0,0,0,0.263,0.597,0.0857,0.447,0,0.321
1,0.602,0.545,0.833,0.672,0,0,0,0,0,0.327,0.899,0.171,0.545,0.0288,0.545
1,0.798,0.741,0,0.733,0,0,0,0,0,0.402,0.974,0.0857,0.741,0.346,0.741
0.667,0.669,0.881,0.25,0.764,0,0,0,0,0,0.541,0.817,0.165,0.881,0.593,0.673
1,0.991,0.937,0,0.733,0,0,0,0,0,0.758,0.937,0.43,0.937,0.683,0.937
1,0.823,0.993,0,0.718,0,0,0,0,0,0.936,0.88,0.348,0.993,1,0.993
1,0.621,0.965,0,0.703,0,0,0,0,0,0.887,0.843,0,0.965,0.679,0.965
1,0.374,0.825,0,0.672,0,0,0,0,0,0.536,0.655,0.102,0.825,0.132,0.636
1,0.183,0.699,0,0.626,0,0,0,0,0,0.232,0.605,0.207,0.699,0.0658,0.552
1,0.0495,0.559,0,0.611,0,0,0,0,0,0.0954,0.465,0,0.559,0,0.258
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0464,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0232,0.465,0,0.517,0,0.258
1,0.0495,0.503,0.217,0.565,0,0,0,0,0,0.018,0.465,0.0851,0.503,0,0.258
1,0.0513,0.461,0.55,0.55,0,0,0,0,0,0.0284,0.51,0,0.461,0,0.326
1,0.0495,0.503,0,0.55,0,0,0,0,0,0.0464,0.465,0,0.503,0,0.258
1,0.0495,0.601,0,0.58,0,0,0,0,0,0.0747,0.465,0.206,0.601,0,0.258
1,0.183,0.657,0,0.611,0,0,0,0,0,0.103,0.572,0.167,0.657,0,0.391
0.667,0.192,0.475,0,0.626,0,0,0,0,0,0.126,0.579,0,0.475,0,0.33
0.333,0.0495,0.322,0,0.626,0,0,0,0,0,0.149,0.465,0,0.322,0,0.258
0.333,0.0495,0.336,0,0.611,0,0,0,0,0,0.168,0.465,0.257,0.336,0,0.258
0.333,0.0495,0.35,0,0.611,0,0,0,0,0,0.186,0.465,0,0.35,0,0.258
0.333,0.181,0.336,0,0.641,0,0,0,0,0,0.196,0.591,0,0.336,0,0.284
0.333,0.18,0.392,0,0.641,0,0,0,0,0,0.222,0.591,0,0.392,0,0.302
0.333,0.182,0.433,0,0.641,0,0,0,0,0,0.235,0.585,0,0.433,0,0.316
0.333,0.196,0.447,0.217,0.626,0,0,0,0,0,0.263,0.597,0.214,0.447,0,0.321
0.667,0.418,0.545,1,0.672,0,0,0,0,0,0.327,0.755,0,0.545,0.0288,0.449
1,0.798,0.741,0.333,0.733,0,0,0,0,0,0.402,0.974,0.0857,0.741,0.346,0.741
1,0.979,0.881,0,0.764,0,0,0,0,0,0.541,0.993,0.214,0.881,0.593,0.881
0.667,0.677,0.937,0,0.733,0,0,0,0,0,0.758,0.78,0.0428,0.937,0.683,0.711
1,0.823,0.993,0,0.718,0,0,0,0,0,0.936,0.88,0.352,0.993,1,0.993
1,0.621,0.965,0,0.703,0,0,0,0,0,0.887,0.843,0.462,0.965,0.679,0.965
1,0.212,0.825,0,0.672,0,0,0,0,0,0.536,0.56,0.0428,0.825,0.132,0.447
1,0.0495,0.699,0,0.626,0,0,0,0,0,0.232,0.465,0,0.699,0.0658,0.258
1,0.0495,0.559,0,0.611,0,0,0,0,0,0.0954,0.465,0,0.559,0,0.258
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0464,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0232,0.465,0,0.517,0,0.258
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.018,0.465,0.202,0.503,0,0.258
1,0.0513,0.461,0.217,0.55,0,0,0,0,0,0.0284,0.51,0.0995,0.461,0,0.326
0.667,0.0833,0.503,0.0333,0.55,0,0,0,0,0,0.0464,0.516,0.0882,0.503,0,0.34
1,0.253,0.601,0.217,0.58,0,0,0,0,0,0.0747,0.617,0.193,0.601,0,0.487
1,0.316,0.657,0.817,0.611,0,0,0,0,0,0.103,0.68,0.113,0.657,0,0.524
1,0.334,0.475,0,0.626,0.648,0.917,0,0,0,0.126,0.692,0.156,0.475,0,0.403
1,0.49,0.322,0,0.626,0.0535,0.15,0,0,0,0.149,0.806,0.386,0.322,0,0.322
1,0.477,0.336,0,0.611,0,0,0,0,0,0.168,0.806,0.347,0.336,0,0.336
1,0.458,0.35,0,0.611,0,0,0,0,0,0.186,0.824,0.544,0.35,0,0.35
1,0.445,0.336,0,0.641,0,0,0,0,0,0.196,0.843,0,0.336,0,0.336
0.333,0.18,0.392,0,0.641,0,0,0,0,0,0.222,0.591,0,0.392,0,0.302
0.333,0.182,0.433,0,0.641,0,0,0,0,0,0.235,0.585,0,0.433,0,0.316
0.333,0.196,0.447,0,0.626,0.608,0.667,0,0,0,0.263,0.597,0.0428,0.447,0,0.321
0.667,0.418,0.545,0.467,0.672,0.358,0.133,0,0,0,0.327,0.755,0.257,0.545,0.0288,0.449
0.667,0.548,0.741,0.3,0.733,0.39,0.417,0,0,0,0.402,0.805,0.128,0.741,0.346,0.58
1,0.979,0.881,0,0.764,0.166,0.65,0,0,0,0.541,0.993,0.315,0.881,0.593,0.881
0.667,0.363,0.937,0,0.733,0.494,0.667,0,0,0,0.758,0.622,0.128,0.937,0.683,0.484
1,0.565,0.993,0,0.718,0.229,0.133,0,0,0,0.936,0.742,0.0428,0.993,1,0.748
1,0.24,0.965,0,0.703,0,0,0,0,0,0.887,0.591,0.214,0.965,0.679,0.493
1,0.212,0.825,0,0.672,0,0,0,0,0,0.536,0.56,0.128,0.825,0.132,0.447
1,0.116,0.699,0,0.626,0,0,0,0,0,0.232,0.535,0.171,0.699,0.0658,0.405
1,0.0743,0.559,0,0.611,0,0,0,0,0,0.113,0.529,0,0.559,0,0.358
1,0.0578,0.517,0,0.596,0,0,0,0,0,0.0567,0.516,0,0.517,0,0.344
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0309,0.465,0,0.517,0,0.258
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.0206,0.465,0.0428,0.503,0,0.258
1,0.0495,0.461,0,0.55,0,0,0,0,0,0.0284,0.465,0.0428,0.461,0,0.258
1,0.0495,0.503,0,0.55,0,0,0,0,0,0.0361,0.465,0,0.503,0,0.258
1,0.0495,0.601,0,0.58,0,0,0,0,0,0.0619,0.465,0,0.601,0,0.258
1,0.0495,0.657,0,0.611,0,0,0,0,0,0.111,0.465,0.102,0.657,0,0.258
0.667,0.192,0.475,0,0.626,0,0,0,0,0,0.183,0.579,0.136,0.475,0,0.33
0.667,0.196,0.322,0,0.626,0,0,0,0,0,0.242,0.579,0.0984,0.322,0,0.279
0.667,0.334,0.336,0,0.611,0,0,0,0,0,0.289,0.692,0.135,0.336,0,0.31
0.667,0.322,0.35,0,0.611,0,0,0,0,0,0.317,0.705,0.432,0.35,0,0.319
0.667,0.313,0.336,0,0.641,0,0,0,0,0,0.34,0.717,0,0.336,0,0.31
0.333,0.18,0.392,0,0.641,0,0,0,0,0,0.402,0.591,0.0428,0.392,0,0.302
0.333,0.182,0.433,0.133,0.641,0,0,0,0,0,0.459,0.585,0.0857,0.433,0,0.316
0.333,0.196,0.447,1,0.626,0,0,0,0,0,0.505,0.597,0.128,0.447,0,0.321
0.667,0.418,0.545,0.667,0.672,0,0,0,0,0,0.531,0.755,0.171,0.545,0.0288,0.449
0.667,0.548,0.741,0,0.733,0,0,0,0,0,0.549,0.805,0,0.741,0.346,0.58
1,0.979,0.881,0,0.764,0,0,0,0,0,0.647,0.993,0.428,0.881,0.593,0.881
1,0.991,0.937,0,0.733,0,0,0,0,0,0.851,0.937,0.0428,0.937,0.683,0.937
1,0.823,0.993,0,0.718,0,0,0,0,0,1,0.88,0.128,0.993,1,0.993
1,0.43,0.965,0,0.703,0,0,0,0,0,0.923,0.717,0,0.965,0.679,0.729
1,0.374,0.825,0,0.672,0,0,0,0,0,0.582,0.655,0.0428,0.825,0.132,0.636
1,0.116,0.699,0,0.626,0,0,0,0,0,0.265,0.535,0.214,0.699,0.0658,0.405
1,0.0743,0.559,0,0.611,0,0,0,0,0,0.113,0.529,0.12,0.559,0,0.358
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0567,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0309,0.465,0,0.517,0,0.258
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.0206,0.465,0,0.503,0,0.258
1,0.0495,0.461,0,0.55,0,0,0,0,0,0.0284,0.465,0,0.461,0,0.258
1,0.0495,0.503,0,0.55,0,0,0,0,0,0.0361,0.465,0,0.503,0,0.258
1,0.151,0.601,0,0.58,0,0,0,0,0,0.0619,0.541,0.0818,0.601,0,0.372
0.667,0.183,0.657,0,0.611,0,0,0,0,0,0.111,0.572,0.0839,0.657,0,0.391
1,0.192,0.475,0,0.626,0,0,0,0,0,0.183,0.579,0.0608,0.475,0,0.33
0.667,0.343,0.322,0,0.626,0,0,0,0,0,0.242,0.692,0,0.322,0,0.3
0.333,0.192,0.336,0,0.611,0,0,0,0,0,0.289,0.579,0.171,0.336,0,0.284
0.333,0.186,0.35,0,0.611,0,0,0,0,0,0.317,0.585,0.0428,0.35,0,0.288
0.333,0.181,0.336,0.25,0.641,0,0,0,0,0,0.34,0.591,0.0857,0.336,0,0.284
0.333,0.18,0.392,0,0.641,0,0,0,0,0,0.402,0.591,0.257,0.392,0,0.302
1,0.448,0.433,0,0.641,0,0,0,0,0,0.459,0.824,0.128,0.433,0,0.433
0.667,0.343,0.447,0,0.626,0,0,0,0,0,0.505,0.73,0.171,0.447,0,0.384
0.667,0.418,0.545,0,0.672,0,0,0,0,0,0.531,0.755,0.214,0.545,0,0.449
1,0.798,0.741,0,0.733,0,0,0,0,0,0.549,0.974,0.0428,0.741,0,0.741
0.667,0.669,0.881,0,0.764,0,0,0,0,0,0.647,0.817,0,0.881,0,0.673
1,0.677,0.937,0,0.733,0,0,0,0,0,0.851,0.78,0.128,0.937,0,0.711
1,0.823,0.993,0,0.718,0,0,0,0,0,1,0.88,0.129,0.993,0,0.993
1,0.621,0.965,0,0.703,0,0,0,0,0,0.923,0.843,0.116,0.965,0,0.965
1,0.536,0.825,0,0.672,0,0,0,0,0,0.582,0.749,0,0.825,0,0.825
1,0.183,0.699,0,0.626,0,0,0,0,0,0.265,0.605,0.155,0.699,0,0.552
1,0.0495,0.559,0,0.611,0,0,0,0,0,0.0954,0.465,0,0.559,0,0.258
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0464,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0232,0.465,0,0.517,0,0.258
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.018,0.465,0,0.503,0,0.258
1,0.0495,0.461,0,0.55,0,0,0,0,0,0.0284,0.465,0,0.461,0,0.258
1,0.0495,0.503,0.467,0.55,0,0,0,0,0,0.0464,0.465,0,0.503,0,0.258
1,0.355,0.601,0.3,0.58,0,0,0,0,0,0.0747,0.693,0,0.601,0,0.601
0.667,0.316,0.657,0.767,0.611,0,0,0,0,0,0.103,0.68,0,0.657,0,0.524
0.333,0.192,0.475,0,0.626,0,0,0,0,0,0.126,0.579,0,0.475,0,0.33
0.333,0.196,0.322,0,0.626,0,0,0,0,0,0.149,0.579,0.171,0.322,0,0.279
0.333,0.192,0.336,0,0.611,0,0,0,0,0,0.168,0.579,0.343,0.336,0,0.284
0.333,0.186,0.35,0,0.611,0,0,0,0,0,0.186,0.585,0.171,0.35,0,0.288
0.333,0.181,0.336,0,0.641,0,0,0,0,0,0.196,0.591,0.128,0.336,0,0.284
0.333,0.18,0.392,0,0.641,0,0,0,0,0,0.222,0.591,0.0428,0.392,0,0.302
0.333,0.182,0.433,0,0.641,0,0,0,0,0,0.235,0.585,0.0931,0.433,0,0.316
0.667,0.343,0.447,0.767,0.626,0,0,0,0,0,0.263,0.73,0.238,0.447,0,0.384
0.667,0.418,0.545,0,0.672,0,0,0,0,0,0.327,0.755,0.171,0.545,0,0.449
0.667,0.548,0.741,0.967,0.733,0,0,0,0,0,0.402,0.805,0.182,0.741,0,0.58
1,0.669,0.881,0.317,0.764,0,0,0,0,0,0.541,0.817,0.0428,0.881,0,0.673
1,0.991,0.937,0,0.733,0,0,0,0,0,0.758,0.937,0.128,0.937,0,0.937
1,0.823,0.993,0,0.718,0,0,0,0,0,0.936,0.88,0,0.993,0,0.993
1,0.43,0.965,0,0.703,0,0,0,0,0,0.887,0.717,0,0.965,0,0.729
1,0.212,0.825,0,0.672,0,0,0,0,0,0.536,0.56,0.117,0.825,0,0.447
1,0.116,0.699,0,0.626,0,0,0,0,0,0.232,0.535,0.167,0.699,0,0.405
1,0.0743,0.559,0,0.611,0,0,0,0,0,0.0954,0.529,0,0.559,0,0.358
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0464,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0232,0.465,0,0.517,0,0.258
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.018,0.465,0,0.503,0,0.258
1,0.0513,0.461,0,0.55,0,0,0,0,0,0.0284,0.51,0.178,0.461,0,0.326
1,0.0833,0.503,0.217,0.55,0,0,0,0,0,0.0464,0.516,0.0984,0.503,0,0.34
1,0.253,0.601,0.3,0.58,0,0,0,0,0,0.0747,0.617,0.0837,0.601,0,0.487
0.667,0.183,0.657,0.467,0.611,0,0,0,0,0,0.103,0.572,0.171,0.657,0,0.391
0.333,0.192,0.475,0.05,0.626,0,0,0,0,0,0.126,0.579,0,0.475,0,0.33
0.333,0.196,0.322,0,0.626,0,0,0.342,0.617,0,0.149,0.579,0.0857,0.322,0,0.279
0.333,0.192,0.336,0,0.611,0,0,0.458,0,0.267,0.168,0.579,0.0857,0.336,0,0.284
0.333,0.186,0.35,0,0.611,0,0,0.514,0,0,0.186,0.585,0.171,0.35,0,0.288
0.333,0.181,0.336,0,0.641,0,0,0.514,0,0,0.196,0.591,0.0857,0.336,0,0.284
0.333,0.18,0.392,0,0.641,0,0,0.608,0,0,0.222,0.591,0,0.392,0,0.302
0.333,0.182,0.433,0,0.641,0,0,0.54,0,0,0.235,0.585,0.0857,0.433,0,0.316
0.333,0.196,0.447,0,0.626,0,0,0.545,0,0,0.263,0.597,0,0.447,0,0.321
0.667,0.418,0.545,0,0.672,0,0,0.502,0,0,0.327,0.755,0.343,0.545,0,0.449
0.667,0.548,0.741,0,0.733,0,0,0.693,0,0,0.402,0.805,0.0428,0.741,0,0.58
0.667,0.669,0.881,0,0.764,0,0,0.42,0,0,0.541,0.817,0.0428,0.881,0,0.673
1,0.991,0.937,0,0.733,0,0,0.354,0,0,0.758,0.937,0.101,0.937,0,0.937
1,0.823,0.993,0,0.718,0,0,0.696,0,0,0.936,0.88,0,0.993,0,0.993
1,0.621,0.965,0,0.703,0,0,0.278,0,0,0.887,0.843,0.0857,0.965,0,0.965
1,0.212,0.825,0,0.672,0,0,0,0,0,0.536,0.56,0.128,0.825,0,0.447
1,0.116,0.699,0,0.626,0,0,0,0,0,0.232,0.535,0,0.699,0,0.405
1,0.0743,0.559,0,0.611,0,0,0,0,0,0.0954,0.529,0,0.559,0,0.358
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0464,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0232,0.465,0,0.517,0,0.258
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.018,0.465,0,0.503,0,0.258
1,0.0495,0.461,0,0.55,0,0,0,0,0,0.0284,0.465,0,0.461,0,0.258
1,0.0833,0.503,0,0.55,0,0,0,0,0,0.0464,0.516,0,0.503,0,0.34
0.333,0.0495,0.601,0,0.58,0,0,0,0,0,0.0747,0.465,0.072,0.601,0,0.258
0,0.0495,0.657,0,0.611,0,0,0,0,0,0.103,0.465,0.0428,0.657,0,0.258
0,0.0495,0.475,0,0.626,0,0,0,0,0,0.126,0.465,0.0857,0.475,0,0.258
0.333,0.196,0.322,0,0.626,0,0,0.111,0.319,0,0.149,0.579,0,0.322,0,0.279
0.333,0.192,0.336,0,0.611,0,0,0.694,0.596,0.417,0.168,0.579,0.0428,0.336,0,0.284
0.333,0.186,0.35,0,0.611,0,0,0.348,0,0.667,0.186,0.585,0,0.35,0,0.288
0.333,0.181,0.336,0.467,0.641,0,0,0.384,0,0,0.196,0.591,0,0.336,0,0.284
0.667,0.311,0.392,0.05,0.641,0,0,0.421,0,0,0.222,0.717,0.0428,0.392,0,0.347
0.667,0.315,0.433,0,0.641,0,0,0.633,0,0,0.235,0.705,0,0.433,0,0.375
0.333,0.196,0.447,0,0.626,0,0,0,0,0,0.263,0.597,0.214,0.447,0,0.321
0.333,0.234,0.545,0,0.672,0,0,0.0563,0.298,0,0.327,0.61,0.0428,0.545,0,0.354
0.667,0.548,0.741,0,0.733,0,0,0.537,0,0.817,0.402,0.805,0,0.741,0,0.58
1,0.979,0.881,0,0.764,0,0,0.912,0,0,0.541,0.993,0.171,0.881,0,0.881
0.667,0.677,0.937,0,0.733,0,0,0.666,0,0,0.758,0.78,0.0857,0.937,0,0.711
0.667,0.565,0.993,0,0.718,0,0,0.703,0,0,0.936,0.742,0.0857,0.993,0,0.748
1,0.621,0.965,0,0.703,0,0,0.799,0,0,0.887,0.843,0.0857,0.965,0,0.965
1,0.374,0.825,0,0.672,0,0,0.477,0,0,0.536,0.655,0.3,0.825,0,0.636
1,0.183,0.699,0,0.626,0,0,0.0193,0,0,0.232,0.605,0.128,0.699,0,0.552
1,0.0495,0.559,0,0.611,0,0,0,0,0,0.0954,0.465,0,0.559,0,0.258
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0464,0.465,0.0428,0.517,0,0.258
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0232,0.465,0,0.517,0,0.258
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.018,0.465,0,0.503,0,0.258
1,0.0495,0.461,0,0.55,0,0,0,0,0,0.0284,0.465,0,0.461,0,0.258
1,0.0495,0.503,0,0.55,0,0,0,0,0,0.0464,0.465,0,0.503,0,0.258
0.667,0.0495,0.601,0,0.58,0,0,0,0,0,0.0747,0.465,0,0.601,0,0.258
0.667,0.0495,0.657,0,0.611,0,0,0,0,0,0.103,0.465,0,0.657,0,0.258
0.667,0.192,0.475,0,0.626,0,0,0,0,0,0.126,0.579,0.127,0.475,0,0.33
0.333,0.196,0.322,0,0.626,0,0,0,0,0,0.149,0.579,0.0598,0.322,0,0.279
0,0.0495,0.336,0,0.611,0,0,0,0,0,0.168,0.465,0,0.336,0,0.258
0,0.0495,0.35,0,0.611,0,0,0,0,0,0.186,0.465,0.0428,0.35,0,0.258
0,0.0495,0.336,0,0.641,0,0,0,0,0,0.196,0.465,0.257,0.336,0,0.258
0,0.0495,0.392,0,0.641,0,0,0,0,0,0.222,0.465,0,0.392,0,0.258
0.333,0.182,0.433,0.967,0.641,0,0,0,0,0,0.235,0.585,0,0.433,0,0.316
0.667,0.343,0.447,0.317,0.626,0,0,0,0,0,0.263,0.73,0,0.447,0,0.384
1,0.602,0.545,0,0.672,0,0,0,0,0,0.327,0.899,0.0857,0.545,0,0.545
1,0.798,0.741,0,0.733,0,0,0,0,0,0.402,0.974,0.257,0.741,0,0.741
1,0.979,0.881,0.25,0.764,0,0,0,0,0,0.541,0.993,0.171,0.881,0,0.881
1,0.991,0.937,0,0.733,0,0,0,0,0,0.758,0.937,0.171,0.937,0,0.937
1,0.823,0.993,0,0.718,0,0,0,0,0,0.936,0.88,0.0428,0.993,0,0.993
1,0.43,0.965,0,0.703,0,0,0,0,0,0.887,0.717,0.0428,0.965,0,0.729
1,0.212,0.825,0,0.672,0,0,0,0,0,0.536,0.56,0,0.825,0,0.447
1,0.0495,0.699,0,0.626,0,0,0,0,0,0.232,0.465,0.0428,0.699,0,0.258
1,0.0495,0.559,0,0.611,0,0,0,0,0,0.0954,0.465,0,0.559,0,0.258
1,0.0495,0.517,0,0.596,0,0,0,0,0,0.0464,0.465,0,0.517,0,0.258
1,0.0495,0.517,0,0.58,0,0,0,0,0,0.0232,0.465,0,0.517,0,0.258
1,0.0495,0.503,0,0.565,0,0,0,0,0,0.018,0.465,0,0.503,0,0.258
1,0.0495,0.461,0,0.55,0,0,0,0,0,0.0284,0.465,0,0.461,0,0.258
1,0.0495,0.503,0.25,0.55,0,0,0,0,0,0.0464,0.465,0.203,0.503,0,0.258
1,0.253,0.601,0,0.58,0,0,0,0,0,0.0747,0.617,0.118,0.601,0,0.487
0.667,0.183,0.657,0,0.611,0,0,0,0,0,0.103,0.572,0,0.657,0,0.391
0.333,0.0495,0.475,0,0.626,0,0,0,0,0,0.126,0.465,0,0.475,0,0.258
0.333,0.0495,0.322,0,0.626,0,0,0,0,0,0.149,0.465,0.0857,0.322,0,0.258
0.333,0.0495,0.336,0,0.611,0,0,0,0,0,0.168,0.465,0.0857,0.336,0,0.258
