Annual Name,Annual Units,Timeseries Name,Timeseries Units,Notes
report_simulation_output.end_use_fuel_oil_generator_m_btu,MBtu,End Use: Fuel Oil: Generator,kBtu,
report_simulation_output.end_use_fuel_oil_grill_m_btu,MBtu,End Use: Fuel Oil: Grill,kBtu,
report_simulation_output.end_use_fuel_oil_heating_heat_pump_backup_m_btu,MBtu,End Use: Fuel Oil: Heating Heat Pump Backup,kBtu,
report_simulation_output.end_use_fuel_oil_heating_m_btu,MBtu,End Use: Fuel Oil: Heating,kBtu,Excludes heat pump backup
report_simulation_output.end_use_fuel_oil_hot_water_m_btu,MBtu,End Use: Fuel Oil: Hot Water,kBtu,
report_simulation_output.end_use_fuel_oil_lighting_m_btu,MBtu,End Use: Fuel Oil: Lighting,kBtu,
report_simulation_output.end_use_fuel_oil_mech_vent_preheating_m_btu,MBtu,End Use: Fuel Oil: Mech Vent Preheating,kBtu,
report_simulation_output.end_use_fuel_oil_range_oven_m_btu,MBtu,End Use: Fuel Oil: Range/Oven,kBtu,
report_simulation_output.end_use_natural_gas_clothes_dryer_m_btu,MBtu,End Use: Natural Gas: Clothes Dryer,kBtu,
report_simulation_output.end_use_natural_gas_fireplace_m_btu,MBtu,End Use: Natural Gas: Fireplace,kBtu,
report_simulation_output.end_use_natural_gas_generator_m_btu,MBtu,End Use: Natural Gas: Generator,kBtu,Positive value for any fuel consumed
report_simulation_output.end_use_natural_gas_grill_m_btu,MBtu,End Use: Natural Gas: Grill,kBtu,
report_simulation_output.end_use_natural_gas_heating_heat_pump_backup_m_btu,MBtu,End Use: Natural Gas: Heating Heat Pump Backup,kBtu,
report_simulation_output.end_use_natural_gas_heating_m_btu,MBtu,End Use: Natural Gas: Heating,kBtu,Excludes heat pump backup
report_simulation_output.end_use_natural_gas_hot_tub_heater_m_btu,MBtu,End Use: Natural Gas: Hot Tub Heater,kBtu,
report_simulation_output.end_use_natural_gas_hot_water_m_btu,MBtu,End Use: Natural Gas: Hot Water,kBtu,
report_simulation_output.end_use_natural_gas_lighting_m_btu,MBtu,End Use: Natural Gas: Lighting,kBtu,
report_simulation_output.end_use_natural_gas_mech_vent_preheating_m_btu,MBtu,End Use: Natural Gas: Mech Vent Preheating,kBtu,
report_simulation_output.end_use_natural_gas_pool_heater_m_btu,MBtu,End Use: Natural Gas: Pool Heater,kBtu,
report_simulation_output.end_use_natural_gas_range_oven_m_btu,MBtu,End Use: Natural Gas: Range/Oven,kBtu,
report_simulation_output.end_use_propane_clothes_dryer_m_btu,MBtu,End Use: Propane: Clothes Dryer,kBtu,
report_simulation_output.end_use_propane_fireplace_m_btu,MBtu,End Use: Propane: Fireplace,kBtu,
report_simulation_output.end_use_propane_generator_m_btu,MBtu,End Use: Propane: Generator,kBtu,Positive value for any fuel consumed
report_simulation_output.end_use_propane_grill_m_btu,MBtu,End Use: Propane: Grill,kBtu,
report_simulation_output.end_use_propane_heating_heat_pump_backup_m_btu,MBtu,End Use: Propane: Heating Heat Pump Backup,kBtu,
report_simulation_output.end_use_propane_heating_m_btu,MBtu,End Use: Propane: Heating,kBtu,Excludes heat pump backup
report_simulation_output.end_use_propane_hot_water_m_btu,MBtu,End Use: Propane: Hot Water,kBtu,
report_simulation_output.end_use_propane_lighting_m_btu,MBtu,End Use: Propane: Lighting,kBtu,
report_simulation_output.end_use_propane_mech_vent_preheating_m_btu,MBtu,End Use: Propane: Mech Vent Preheating,kBtu,
report_simulation_output.end_use_propane_range_oven_m_btu,MBtu,End Use: Propane: Range/Oven,kBtu,
report_simulation_output.end_use_wood_cord_clothes_dryer_m_btu,MBtu,End Use: Wood Cord: Clothes Dryer,kBtu,
report_simulation_output.end_use_wood_cord_fireplace_m_btu,MBtu,End Use: Wood Cord: Fireplace,kBtu,
report_simulation_output.end_use_wood_cord_generator_m_btu,MBtu,End Use: Wood Cord: Generator,kBtu,
report_simulation_output.end_use_wood_cord_grill_m_btu,MBtu,End Use: Wood Cord: Grill,kBtu,
report_simulation_output.end_use_wood_cord_heating_heat_pump_backup_m_btu,MBtu,End Use: Wood Cord: Heating Heat Pump Backup,kBtu,
report_simulation_output.end_use_wood_cord_heating_m_btu,MBtu,End Use: Wood Cord: Heating,kBtu,Excludes heat pump backup
report_simulation_output.end_use_wood_cord_hot_water_m_btu,MBtu,End Use: Wood Cord: Hot Water,kBtu,
report_simulation_output.end_use_wood_cord_lighting_m_btu,MBtu,End Use: Wood Cord: Lighting,kBtu,
report_simulation_output.end_use_wood_cord_mech_vent_preheating_m_btu,MBtu,End Use: Wood Cord: Mech Vent Preheating,kBtu,
report_simulation_output.end_use_wood_cord_range_oven_m_btu,MBtu,End Use: Wood Cord: Range/Oven,kBtu,
report_simulation_output.end_use_wood_pellets_clothes_dryer_m_btu,MBtu,End Use: Wood Pellets: Clothes Dryer,kBtu,
report_simulation_output.end_use_wood_pellets_fireplace_m_btu,MBtu,End Use: Wood Pellets: Fireplace,kBtu,
report_simulation_output.end_use_wood_pellets_generator_m_btu,MBtu,End Use: Wood Pellets: Generator,kBtu,
report_simulation_output.end_use_wood_pellets_grill_m_btu,MBtu,End Use: Wood Pellets: Grill,kBtu,
report_simulation_output.end_use_wood_pellets_heating_heat_pump_backup_m_btu,MBtu,End Use: Wood Pellets: Heating Heat Pump Backup,kBtu,
report_simulation_output.end_use_wood_pellets_heating_m_btu,MBtu,End Use: Wood Pellets: Heating,kBtu,Excludes heat pump backup
report_simulation_output.end_use_wood_pellets_hot_water_m_btu,MBtu,End Use: Wood Pellets: Hot Water,kBtu,
report_simulation_output.end_use_wood_pellets_lighting_m_btu,MBtu,End Use: Wood Pellets: Lighting,kBtu,
report_simulation_output.end_use_wood_pellets_mech_vent_preheating_m_btu,MBtu,End Use: Wood Pellets: Mech Vent Preheating,kBtu,
report_simulation_output.end_use_wood_pellets_range_oven_m_btu,MBtu,End Use: Wood Pellets: Range/Oven,kBtu,
report_simulation_output.energy_use_net_m_btu,MBtu,Energy Use: Net,kBtu,Subtracts any power produced by PV or generators.
report_simulation_output.energy_use_total_m_btu,MBtu,Energy Use: Total,kBtu,Includes any battery charging/discharging
report_simulation_output.fuel_use_coal_total_m_btu,MBtu,Fuel Use: Coal: Total,kBtu,"Includes 'coal', 'anthracite coal', 'bituminous coal', and 'coke'."
report_simulation_output.fuel_use_electricity_net_m_btu,MBtu,Fuel Use: Electricity: Net,kWh,Subtracts any power produced by PV or generators.
report_simulation_output.fuel_use_electricity_total_m_btu,MBtu,Fuel Use: Electricity: Total,kWh,Includes any battery charging/discharging
report_simulation_output.fuel_use_fuel_oil_total_m_btu,MBtu,Fuel Use: Fuel Oil: Total,kBtu,"Includes 'fuel oil', 'fuel oil 1', 'fuel oil 2', 'fuel oil 4', 'fuel oil 5/6', 'kerosene', and 'diesel'"
report_simulation_output.fuel_use_natural_gas_total_m_btu,MBtu,Fuel Use: Natural Gas: Total,kBtu,
report_simulation_output.fuel_use_propane_total_m_btu,MBtu,Fuel Use: Propane: Total,kBtu,
report_simulation_output.fuel_use_wood_cord_total_m_btu,MBtu,Fuel Use: Wood Cord: Total,kBtu,
report_simulation_output.fuel_use_wood_pellets_total_m_btu,MBtu,Fuel Use: Wood Pellets: Total,kBtu,
report_simulation_output.hot_water_clothes_washer_gal,gal,Hot Water: Clothes Washer,gal,
report_simulation_output.hot_water_dishwasher_gal,gal,Hot Water: Dishwasher,gal,
report_simulation_output.hot_water_distribution_waste_gal,gal,Hot Water: Distribution Waste,gal,
report_simulation_output.hot_water_fixtures_gal,gal,Hot Water: Fixtures,gal,Showers and faucets.
report_simulation_output.hvac_capacity_cooling_btu_h,Btu/h,,,Total HVAC cooling capacity
report_simulation_output.hvac_capacity_heat_pump_backup_btu_h,Btu/h,,,Total HVAC heat pump backup capacity
report_simulation_output.hvac_capacity_heating_btu_h,Btu/h,,,Total HVAC heating capacity
report_simulation_output.hvac_design_load_cooling_latent_ducts_btu_h,Btu/h,,,Latent cooling design load for ducts
report_simulation_output.hvac_design_load_cooling_latent_infiltration_ventilation_btu_h,Btu/h,,,Latent cooling design load for infiltration/ventilation
report_simulation_output.hvac_design_load_cooling_latent_internal_gains_btu_h,Btu/h,,,Latent cooling design load for internal gains
report_simulation_output.hvac_design_load_cooling_latent_total_btu_h,Btu/h,,,Total latent cooling design load
report_simulation_output.hvac_design_load_cooling_sensible_ceilings_btu_h,Btu/h,,,Sensible cooling design load for ceilings
report_simulation_output.hvac_design_load_cooling_sensible_doors_btu_h,Btu/h,,,Sensible cooling design load for doors
report_simulation_output.hvac_design_load_cooling_sensible_ducts_btu_h,Btu/h,,,Sensible cooling design load for ducts
report_simulation_output.hvac_design_load_cooling_sensible_floors_btu_h,Btu/h,,,Sensible cooling design load for floors
report_simulation_output.hvac_design_load_cooling_sensible_infiltration_ventilation_btu_h,Btu/h,,,Sensible cooling design load for infiltration/ventilation
report_simulation_output.hvac_design_load_cooling_sensible_internal_gains_btu_h,Btu/h,,,Sensible cooling design load for internal gains
report_simulation_output.hvac_design_load_cooling_sensible_roofs_btu_h,Btu/h,,,Sensible cooling design load for roofs
report_simulation_output.hvac_design_load_cooling_sensible_skylights_btu_h,Btu/h,,,Sensible cooling design load for skylights
report_simulation_output.hvac_design_load_cooling_sensible_slabs_btu_h,Btu/h,,,Sensible cooling design load for slabs
report_simulation_output.hvac_design_load_cooling_sensible_total_btu_h,Btu/h,,,Total sensible cooling design load
report_simulation_output.hvac_design_load_cooling_sensible_walls_btu_h,Btu/h,,,Sensible cooling design load for walls
report_simulation_output.hvac_design_load_cooling_sensible_windows_btu_h,Btu/h,,,Sensible cooling design load for windows
report_simulation_output.hvac_design_load_heating_ceilings_btu_h,Btu/h,,,Heating design load for ceilings
report_simulation_output.hvac_design_load_heating_doors_btu_h,Btu/h,,,Heating design load for doors
report_simulation_output.hvac_design_load_heating_ducts_btu_h,Btu/h,,,Heating design load for ducts
report_simulation_output.hvac_design_load_heating_floors_btu_h,Btu/h,,,Heating design load for floors
report_simulation_output.hvac_design_load_heating_infiltration_ventilation_btu_h,Btu/h,,,Heating design load for infiltration/ventilation
report_simulation_output.hvac_design_load_heating_roofs_btu_h,Btu/h,,,Heating design load for roofs
report_simulation_output.hvac_design_load_heating_skylights_btu_h,Btu/h,,,Heating design load for skylights
report_simulation_output.hvac_design_load_heating_slabs_btu_h,Btu/h,,,Heating design load for slabs
report_simulation_output.hvac_design_load_heating_total_btu_h,Btu/h,,,Total heating design load
report_simulation_output.hvac_design_load_heating_walls_btu_h,Btu/h,,,Heating design load for walls
report_simulation_output.hvac_design_load_heating_windows_btu_h,Btu/h,,,Heating design load for windows
report_simulation_output.hvac_design_temperature_cooling_f,F,,,1% cooling drybulb temperature
report_simulation_output.hvac_design_temperature_heating_f,F,,,99% heating drybulb temperature
report_simulation_output.load_cooling_delivered_m_btu,MBtu,Load: Cooling: Delivered,kBtu,Includes HVAC distribution losses.
report_simulation_output.load_heating_delivered_m_btu,MBtu,Load: Heating: Delivered,kBtu,Includes HVAC distribution losses.
report_simulation_output.load_hot_water_delivered_m_btu,MBtu,Load: Hot Water: Delivered,kBtu,Includes contributions by desuperheaters or solar thermal systems.
report_simulation_output.load_hot_water_desuperheater_m_btu,MBtu,,,Load served by the desuperheater.
report_simulation_output.load_hot_water_solar_thermal_m_btu,MBtu,,,Load served by the solar thermal system.
report_simulation_output.load_hot_water_tank_losses_m_btu,MBtu,,,
report_simulation_output.peak_electricity_summer_total_w,W,,,Maximum value in Jun/Jul/Aug (or Dec/Jan/Feb in the southern hemisphere)
report_simulation_output.peak_electricity_winter_total_w,W,,,Maximum value in Dec/Jan/Feb (or Jun/Jul/Aug in the southern hemisphere)
report_simulation_output.peak_load_cooling_delivered_k_btu_hr,kBtu/hr,,,Includes HVAC distribution losses.
report_simulation_output.peak_load_heating_delivered_k_btu_hr,kBtu/hr,,,Includes HVAC distribution losses.
report_simulation_output.unmet_hours_cooling_hr,hr,Unmet Hours: Cooling,hr,Number of hours where the cooling setpoint is not maintained.
report_simulation_output.unmet_hours_heating_hr,hr,Unmet Hours: Heating,hr,Number of hours where the heating setpoint is not maintained.
